"m","n"
"Module tensorflow.python.keras.engine.network",1467
"Module ragged.ragged_tensor_test",1465
"Module tensorflow.python.ops.ragged.ragged_tensor_test",1465
"Module tensorflow.python.eager.context",1456
"Module tensorflow.contrib.learn.python.learn.estimators.dnn_linear_combined_test",1455
"Module tensorflow.python.kernel_tests.array_ops_test",1453
"Module tkinter.tix",1451
"Module tensorflow.python.client.session",1443
"Module python.xla_client",1442
"Module tensorflow.compiler.xla.python.xla_client",1442
"Module tensorflow.python.keras.callbacks_test",1440
"Module tensorflow.lite.python.lite_test",1423
"Module tensorflow.python.framework.function_test",1420
"Module tensorflow.python.kernel_tests.tensor_array_ops_test",1417
"Module locale",1413
"Module tensorflow.python.layers.convolutional",1412
"Module tensorflow.python.saved_model.load_test",1409
"Module tensorflow.python.training.input",1404
"Module tensorflow.python.keras.metrics_test",1401
"Module tensorflow.python.training.tracking.util_test",1400
"Module tensorflow.python.ops.math_grad",1390
"Module tensorflow.python.ops.rnn",1370
"Module tensorflow.tools.docs.parser",1368
"Module tensorflow.python.debug.lib.debug_data",1366
"Module tensorflow.python.kernel_tests.list_ops_test",1361
"Module tensorflow.python.feature_column.sequence_feature_column_test",1359
"Module tensorflow.python.debug.cli.analyzer_cli",1349
"Module tensorflow.compiler.tests.binary_ops_test",1348
"Module tensorflow.python.kernel_tests.boosted_trees.training_ops_test",1346
"Module tensorflow.contrib.learn.python.learn.estimators.dnn_test",1338
"Module tensorflow.contrib.learn.python.learn.estimators.estimator",1331
"Script pdb",1323
"Module tensorflow.python.kernel_tests.boosted_trees.stats_ops_test",1322
"Module tensorflow.python.kernel_tests.fifo_queue_test",1319
"Module tensorflow.contrib.cudnn_rnn.python.kernel_tests.cudnn_rnn_test",1307
"Module tensorflow.contrib.feature_column.python.feature_column.sequence_feature_column_test",1307
"Module tensorflow.python.keras.engine.network_test",1305
"Module typing",1303
"Module tensorflow.python.kernel_tests.losses_test",1302
"Module tkinter.ttk",1295
"Module tensorflow.python.training.basic_session_run_hooks_test",1293
"Module tensorflow.contrib.boosted_trees.lib.learner.batch.ordinal_split_handler_test",1293
"Module tensorflow.python.eager.backprop_test",1291
"Module tensorflow.python.training.monitored_session",1289
"Module tensorflow.python.tpu.tpu",1286
"Module tensorflow.python.debug.cli.curses_ui",1275
"Module tensorflow.python.keras.layers.recurrent_test",1274
"Module subprocess",1266
"Module tensorflow.python.debug.cli.curses_ui_test",1253
"Script configure.py",1246
"Module tensorflow.python.ops.init_ops",1244
"Module logging.handlers",1242
"Module tensorflow.python.kernel_tests.padding_fifo_queue_test",1239
"Module tensorflow.python.ops.nn_test",1239
"Module pickle",1229
"Module tensorflow.python.grappler.layout_optimizer_test",1221
"Module tensorflow.python.tpu.tpu_embedding",1220
"Module optparse",1214
"Module tensorflow.python.ops.distributions.util",1192
"Module distributions.util",1192
"Module unittest.case",1183
"Module tensorflow.contrib.lookup.lookup_ops_test",1174
"Module tensorflow.python.kernel_tests.resource_variable_ops_test",1173
"Module tensorflow.python.distribute.values",1170
"Module tensorflow.python.framework.op_def_library_test",1165
"Module tensorflow.contrib.seq2seq.python.ops.beam_search_decoder",1165
"Module ops.beam_search_decoder",1165
"Module tensorflow.contrib.learn.python.learn.monitors",1163
"Module tensorflow.python.util.nest",1158
"Module distributions.distribution",1154
"Module tensorflow.python.ops.distributions.distribution",1154
"Module tensorflow.python.keras.losses_test",1152
"Module tensorflow.python.tpu.tensor_tracer",1151
"Module tensorflow.contrib.cudnn_rnn.python.kernel_tests.cudnn_rnn_ops_test",1147
"Module tensorflow.contrib.learn.python.learn.estimators.estimator_test",1147
"Module tensorflow.python.keras.layers.recurrent_v2",1145
"Module tensorflow.python.layers.normalization_test",1138
"Module tensorflow.python.ops.rnn_cell_impl",1130
"Module tensorflow.contrib.framework.python.ops.variables_test",1125
"Module ops.variables_test",1125
"Module tensorflow.python.keras.engine.base_layer_test",1118
"Module tensorflow.python.kernel_tests.cwise_ops_test",1116
"Module tensorflow.python.debug.lib.session_debug_testlib",1115
"Module tensorflow.contrib.optimizer_v2.optimizer_v2",1114
"Module tensorflow.python.ops.tensor_array_ops",1112
"Module tensorflow.python.ops.gradients_test",1112
"Module tensorflow.python.framework.tensor_shape",1108
"Module importlib._bootstrap_external",1103
"Module tensorflow.contrib.gan.python.train",1097
"Module tensorflow.python.ops.control_flow_ops_test",1094
"Module tensorflow.python.kernel_tests.sets_test",1091
"Module tensorflow.python.eager.backprop",1072
"Module tensorflow.contrib.boosted_trees.python.training.functions.gbdt_batch",1069
"Module tensorflow.contrib.legacy_seq2seq.python.ops.seq2seq",1066
"Module tensorflow.contrib.learn.python.learn.estimators.dnn_linear_combined",1064
"Module tensorflow.python.autograph.pyct.cfg_test",1061
"Module tensorflow.python.kernel_tests.random.random_shuffle_queue_test",1060
"Module tensorflow.contrib.losses.python.losses.loss_ops_test",1059
"Module losses.loss_ops_test",1059
"Module tensorflow.python.kernel_tests.cond_v2_test",1058
"Module tensorflow.contrib.timeseries.python.timeseries.state_space_models.state_space_model",1053
"Module tensorflow.contrib.linear_optimizer.python.kernel_tests.sdca_ops_test",1052
"Module tensorflow.python.kernel_tests.summary_ops_test",1048
"Module tensorflow.contrib.labeled_tensor.python.ops.ops",1048
"Module parallel_for.control_flow_ops_test",1044
"Module tensorflow.python.ops.parallel_for.control_flow_ops_test",1044
"Module tensorflow.python.keras.losses",1040
"Module tensorflow.contrib.boosted_trees.python.kernel_tests.prediction_ops_test",1037
"Module tensorflow.python.saved_model.saved_model_test",1032
"Module collections.__init__",1030
"Module tensorflow.python.framework.importer_test",1027
"Module tensorflow.python.ops.summary_ops_v2",1024
"Module tensorflow.python.framework.function",1020
"Module tensorflow.python.keras.saving.hdf5_format_test",1019
"Module distributions.bijector_impl",1010
"Module tensorflow.python.ops.distributions.bijector_impl",1010
"Module tensorflow.python.training.supervisor",1009
"Module tensorflow.python.distribute.values_test",1005
"Module threading",1004
"Module tensorflow.python.training.optimizer",1002
"Module tensorflow.lite.python.op_hint",999
"Module ConfigParser",997
"Module tensorflow.contrib.layers.python.layers.feature_column_test",997
"Module layers.feature_column_test",997
"Module configparser",997
"Module tensorflow.python.ops.ctc_ops",996
"Module tensorflow.python.keras.model_subclassing_test",995
"Module tensorflow.python.layers.convolutional_test",989
"Module http.server",987
"Module tensorflow.contrib.fused_conv.python.ops.fused_conv2d_bias_activation_op_test_base",984
"Module tensorflow.python.util.nest_test",980
"Module tensorflow.contrib.eager.python.network_test",979
"Module tensorflow.python.training.warm_starting_util_test",978
"Module tensorflow.python.debug.cli.debugger_cli_common",976
"Module tensorflow.python.kernel_tests.init_ops_test",971
"Module tensorflow.python.data.kernel_tests.map_test",967
"Module tensorflow.python.kernel_tests.rnn_test",967
"Module tensorflow.python.keras.layers.core",966
"Module tensorflow.python.grappler.hierarchical_controller",966
"Module tensorflow.python.ops.linalg.linear_operator",961
"Module linalg.linear_operator",961
"Script platform",959
"Module tensorflow.python.ops.nn_grad",956
"Module tensorflow.python.distribute.mirrored_strategy_test",951
"Module tensorflow.python.distribute.cross_device_ops",951
"Module email.message",948
"Module tensorflow.python.kernel_tests.functional_ops_test",944
"Module tensorflow.contrib.gan.python.eval.python.classifier_metrics_impl",942
"Module tensorflow.python.kernel_tests.diag_op_test",942
"Module eval.python.classifier_metrics_impl",942
"Module http.client",940
"Module shutil",938
"Module tensorflow.python.keras.optimizer_v2.optimizer_v2",935
"Module ssl",931
"Module tensorflow.lite.python.lite",921
"Module tensorflow.python.keras.layers.convolutional_recurrent",915
"Module tensorflow.python.keras.optimizer_v2.optimizer_v2_test",914
"Module tensorflow.python.framework.func_graph",913
"Module tensorflow.python.eager.def_function",912
"Module tensorflow.python.eager.benchmarks_test",908
"Module tensorflow.contrib.labeled_tensor.python.ops.core",904
"Module tensorflow.contrib.factorization.python.ops.factorization_ops",901
"Module tensorflow.python.framework.tensor_util_test",899
"Module tensorflow.python.kernel_tests.embedding_ops_test",896
"Module tensorflow.python.training.basic_session_run_hooks",894
"Module tensorflow.python.kernel_tests.reduction_ops_test",892
"Module tensorflow.contrib.gan.python.train_test",891
"Module tensorflow.python.keras.metrics_confusion_matrix_test",891
"Module distutils.dist",889
"Module tensorflow.python.keras.optimizer_v2.learning_rate_schedule",889
"Module tensorflow.contrib.distributions.python.ops.vector_diffeomixture",886
"Module tensorflow.python.ops.linalg.linear_operator_circulant",884
"Module sre_parse",884
"Module linalg.linear_operator_circulant",884
"Module tensorflow.contrib.distribute.python.keras_backward_compat_test",879
"Module tensorflow.contrib.seq2seq.python.kernel_tests.attention_wrapper_test",879
"Module kernel_tests.attention_wrapper_test",879
"Module tensorflow.contrib.learn.python.learn.estimators.linear",878
"Module losses.python.losses_impl",874
"Module tensorflow.contrib.gan.python.losses.python.losses_impl",874
"Module tensorflow.python.data.experimental.ops.readers",873
"Module nntplib",870
"Module tensorflow.python.framework.meta_graph",866
"Module tensorflow.contrib.learn.python.learn.estimators.dnn",866
"Module xmlrpc.client",864
"Module tensorflow.compiler.tests.unary_ops_test",862
"Module tensorflow.contrib.quantize.python.fold_batch_norms",861
"Module tensorflow.python.distribute.input_lib",860
"Module tensorflow.contrib.legacy_seq2seq.python.kernel_tests.seq2seq_test",859
"Module tensorflow.contrib.timeseries.python.timeseries.ar_model",853
"Module tensorflow.python.debug.cli.debugger_cli_common_test",850
"Module tensorflow.python.compiler.tensorrt.trt_convert",850
"Module importlib._bootstrap",849
"Module tensorflow.tools.compatibility.ast_edits",842
"Module codecs",837
"Module tensorflow.python.kernel_tests.distributions.util_test",836
"Module tensorflow.contrib.timeseries.python.timeseries.math_utils",833
"Module tensorflow.contrib.eager.python.network",823
"Module tensorflow.python.keras.distribute.distributed_training_utils",823
"Module tensorflow.python.eager.core_test",821
"Module tensorflow.python.keras.layers.normalization",821
"Module tensorflow.python.tpu.tpu_feed",821
"Module tensorflow.python.kernel_tests.segment_reduction_ops_test",820
"Module tensorflow.python.kernel_tests.parse_single_example_op_test",818
"Module tensorflow.python.ops.state_ops",818
"Module metric_learning.metric_loss_ops",817
"Module tensorflow.contrib.losses.python.metric_learning.metric_loss_ops",817
"Module layers.feature_column_ops",817
"Module tensorflow.contrib.layers.python.layers.feature_column_ops",817
"Module distutils.ccompiler",815
"Module os",811
"Script cgi",809
"Module tensorflow.python.keras.layers.lstm_v2_test",808
"Module tensorflow.contrib.learn.python.learn.experiment_test",806
"Module tensorflow.python.keras.layers.wrappers_test",806
"Module layers.embedding_ops",804
"Module tensorflow.contrib.layers.python.layers.embedding_ops",804
"Module losses.losses_impl",802
"Module tensorflow.python.ops.losses.losses_impl",802
"Module tensorflow.python.training.tracking.util_with_v1_optimizers_test",802
"Module linalg.linear_operator_test_util",798
"Module tensorflow.python.ops.linalg.linear_operator_test_util",798
"Module tensorflow.python.kernel_tests.sparse_ops_test",795
"Module tensorflow.contrib.slim.python.slim.data.tfexample_decoder_test",794
"Module models",791
"Module tensorflow.examples.speech_commands.models",791
"Module tensorflow.compiler.tests.image_ops_test",789
"Module tensorflow.contrib.learn.python.learn.experiment",787
"Module ftplib",785
"Module urllib.parse",785
"Module tensorflow.python.kernel_tests.cwise_ops_binary_test",781
"Module tensorflow.contrib.learn.python.learn.learn_io.graph_io",778
"Module tensorflow.python.training.tracking.base",776
"Module tensorflow.contrib.boosted_trees.estimator_batch.dnn_tree_combined_estimator",773
"Module tensorflow.python.framework.meta_graph_test",768
"Module tensorflow.python.keras.layers.pooling",766
"Module tensorflow.python.tools.saved_model_cli",765
"Module tensorflow.contrib.learn.python.learn.utils.saved_model_export_utils_test",764
"Module tensorflow.python.distribute.all_reduce",759
"Module _collections_abc",759
"Module tensorflow.python.util.deprecation_test",758
"Module tensorflow.python.ops.gradients_util",756
"Module tensorflow.compiler.tests.conv2d_test",755
"Module tensorflow.python.kernel_tests.constant_op_test",754
"Module tensorflow.compiler.tests.tensor_array_ops_test",748
"Module tensorflow.python.kernel_tests.variables_test",747
"Module tensorflow.contrib.boosted_trees.estimator_batch.estimator",747
"Module tensorflow.python.framework.tensor_util",745
"Module tensorflow.python.data.experimental.kernel_tests.parse_example_dataset_test",744
"Module tensorflow.contrib.framework.python.ops.variables",744
"Module ops.variables",744
"Module ragged.ragged_dispatch_test",742
"Module tensorflow.python.ops.ragged.ragged_dispatch_test",742
"Module tensorflow.contrib.distributions.python.kernel_tests.mixture_test",740
"Module tensorflow.python.keras.layers.local",735
"Module tensorflow.python.data.kernel_tests.iterator_test",735
"Module tensorflow.contrib.quantize.python.fold_batch_norms_test",733
"Module tensorflow.python.keras.utils.data_utils",732
"Module multiprocessing.connection",729
"Module tensorflow.contrib.quantize.python.quantize_parameterized_test",725
"Module tensorflow.contrib.learn.python.learn.learn_io.data_feeder",724
"Module tensorflow.contrib.labeled_tensor.python.ops.ops_test",723
"Module tensorflow.contrib.learn.python.learn.learn_io.graph_io_test",722
"Module tensorflow.python.distribute.distribute_coordinator_test",720
"Module tensorflow.python.debug.wrappers.framework",720
"Module tensorflow.python.keras.mixed_precision.experimental.keras_test",719
"Module experimental.keras_test",719
"Module tensorflow.python.ops.embedding_ops",719
"Module tensorflow.python.saved_model.save",718
"Module tensorflow.python.ops.functional_ops",716
"Module tensorflow.python.eager.function_gradients_test",714
"Module tensorflow.python.training.supervisor_test",713
"Module tensorflow.contrib.timeseries.python.timeseries.model",712
"Module lib2to3.pytree",712
"Module tensorflow.python.debug.cli.profile_analyzer_cli",711
"Module tensorflow.contrib.distributions.python.ops.statistical_testing",710
"Module tensorflow.contrib.learn.python.learn.monitors_test",709
"Module tensorflow.python.training.session_manager_test",709
"Module tensorflow.contrib.slim.python.slim.learning_test",708
"Module tensorflow.python.training.learning_rate_decay",704
"Module tensorflow.contrib.timeseries.python.timeseries.input_pipeline",703
"Module tensorflow.python.distribute.mirrored_strategy",701
"Module tensorflow.python.keras.engine.training_generator",701
"Module tensorflow.python.training.tracking.data_structures_test",700
"Module xmlrpc.server",697
"Module tensorflow.python.ops.cond_v2",696
"Module tensorflow.python.ops.ragged.ragged_string_ops",696
"Module ragged.ragged_string_ops",696
"Module tensorflow.python.data.ops.iterator_ops",695
"Module tensorflow.python.ops.array_grad",692
"Module tensorflow.python.distribute.distribute_coordinator",691
"Module tensorflow.python.autograph.impl.api_test",691
"Module tensorflow.python.keras.optimizers",690
"Module tensorflow.python.ops.init_ops_v2",689
"Module tensorflow.python.ops.while_v2",689
"Module bdb",685
"Module tensorflow.contrib.graph_editor.select",684
"Module tensorflow.python.kernel_tests.conv_ops_3d_test",679
"Module tensorflow.python.distribute.input_lib_test",673
"Module tensorflow.python.compiler.tensorrt.test.tf_trt_integration_test_base",672
"Module tensorflow.python.kernel_tests.reader_ops_test",665
"Module tensorflow.contrib.learn.python.learn.estimators.debug_test",664
"Module tensorflow.python.lib.io.file_io",663
"Module third_party.examples.eager.spinn.spinn",658
"Module tensorflow.python.debug.wrappers.local_cli_wrapper_test",658
"Module tensorflow.contrib.slim.python.slim.nets.inception_v3",655
"Module tensorflow.python.training.tracking.data_structures",654
"Module tensorflow.python.profiler.model_analyzer_test",654
"Module tensorflow.contrib.timeseries.python.timeseries.estimators",654
"Module tensorflow.contrib.distribute.python.parameter_server_strategy_test",654
"Module tensorflow.python.keras.saving.hdf5_format",653
"Module enum",653
"Module tensorflow.tools.tensorflow_builder.compat_checker.compat_checker",649
"Module tensorflow.contrib.labeled_tensor.python.ops.core_test",649
"Module plistlib",649
"Module tensorflow.contrib.timeseries.python.timeseries.state_space_models.state_space_model_test",647
"Module tensorflow.python.autograph.pyct.cfg",643
"Module sre_compile",642
"Module tensorflow.python.kernel_tests.ctc_loss_op_test",642
"Module tensorflow.contrib.learn.python.learn.estimators.dynamic_rnn_estimator_test",642
"Module tensorflow.python.framework.test_util_test",641
"Module kernel_tests.attention_wrapper_v2_test",638
"Module tensorflow.contrib.seq2seq.python.kernel_tests.attention_wrapper_v2_test",638
"Module tensorflow.contrib.learn.python.learn.estimators.dynamic_rnn_estimator",637
"Module ops.sampler",637
"Module tensorflow.contrib.seq2seq.python.ops.sampler",637
"Module tensorflow.contrib.optimizer_v2.checkpointable_utils_test",636
"Module tensorflow.contrib.learn.python.learn.utils.saved_model_export_utils",635
"Module tensorflow.contrib.tensor_forest.client.random_forest",635
"Module functools",635
"Module tensorflow.python.kernel_tests.unicode_decode_op_test",633
"Module tensorflow.contrib.quantize.python.quantize",633
"Module tensorflow.contrib.factorization.python.ops.factorization_ops_test",632
"Module tensorflow.python.keras.testing_utils",630
"Module tensorflow.python.data.experimental.kernel_tests.make_csv_dataset_test",628
"Module tensorflow.python.distribute.parameter_server_strategy_test",627
"Module multiprocessing.pool",627
"Module tensorflow.python.distribute.cross_device_utils",627
"Module tensorflow.contrib.factorization.python.ops.clustering_ops",627
"Module tensorflow.python.ops.clustering_ops",626
"Module tensorflow.python.keras.layers.convolutional_test",624
"Module tensorflow.python.ops.control_flow_state",624
"Module tensorflow.contrib.layers.python.layers.embedding_ops_test",623
"Module layers.embedding_ops_test",623
"Module tensorflow.python.data.util.structure_test",623
"Module tensorflow.python.framework.dtypes",621
"Module tensorflow.python.training.checkpoint_management",620
"Module tensorflow.python.keras.engine.training_distributed",619
"Module tensorflow.python.data.experimental.kernel_tests.parallel_interleave_test",618
"Module tensorflow.python.distribute.cross_device_ops_test",615
"Module ops.bigtable_api",613
"Module tensorflow.contrib.grid_rnn.python.kernel_tests.grid_rnn_test",613
"Module tensorflow.contrib.bigtable.python.ops.bigtable_api",613
"Module tensorflow.python.keras.layers.merge",611
"Module ops.helper",609
"Module tensorflow.contrib.seq2seq.python.ops.helper",609
"Module tensorflow.python.framework.op_def_library",608
"Module tensorflow.python.kernel_tests.scatter_nd_ops_test",604
"Module tensorflow.contrib.meta_graph_transform.meta_graph_transform",603
"Module tensorflow.contrib.training.python.training.hparam",602
"Module calendar",602
"Module tensorflow.python.kernel_tests.barrier_ops_test",599
"Module tensorflow.python.keras.layers.wrappers",597
"Module tensorflow.python.ops.stateful_random_ops",594
"Module tensorflow.python.ops.linalg.linear_operator_identity",593
"Module linalg.linear_operator_identity",593
"Module tensorflow.contrib.learn.python.learn.graph_actions",592
"Module tensorflow.contrib.ignite.python.ops.ignite_dataset_ops",592
"Module tensorflow.contrib.graph_editor.transform",592
"Module tensorflow.compiler.tests.eager_test",590
"Module tensorflow.contrib.learn.python.learn.estimators.state_saving_rnn_estimator",587
"Module tensorflow.python.kernel_tests.concat_op_test",587
"Module tensorflow.contrib.boosted_trees.lib.learner.batch.ordinal_split_handler",586
"Module tensorflow.tools.compatibility.all_renames_v2",585
"Module tensorflow.python.kernel_tests.shape_ops_test",583
"Module tensorflow.python.keras.distribute.keras_utils_test",583
"Module tensorflow.tools.docs.parser_test",581
"Module tensorflow.contrib.opt.python.training.shampoo_test",580
"Module tensorflow.python.ops.stateful_random_ops_test",579
"Module lib2to3.refactor",579
"Module tensorflow.python.autograph.impl.api",578
"Module tensorflow.python.keras.optimizer_v2.gradient_descent_test",577
"Module tensorflow.contrib.distributions.python.ops.wishart",577
"Module tensorflow.contrib.learn.python.learn.graph_actions_test",576
"Module tensorflow.contrib.training.python.training.sequence_queueing_state_saver_test",576
"Module tensorflow.contrib.slim.python.slim.nets.inception_v2",574
"Module tensorflow.contrib.seq2seq.python.kernel_tests.basic_decoder_v2_test",574
"Module kernel_tests.basic_decoder_v2_test",574
"Module tensorflow.python.ops.math_ops_test",574
"Module socket",574
"Module tensorflow.contrib.rnn.python.ops.lstm_ops",573
"Module tensorflow.contrib.graph_editor.subgraph",573
"Module tensorflow.python.ops.template",573
"Module kernel_tests.beam_search_decoder_test",572
"Module tensorflow.contrib.seq2seq.python.kernel_tests.beam_search_decoder_test",572
"Module tensorflow.examples.speech_commands.input_data",571
"Module input_data",571
"Module tensorflow.contrib.seq2seq.python.kernel_tests.basic_decoder_test",570
"Module kernel_tests.basic_decoder_test",570
"Module tensorflow.python.ops.nn_batchnorm_test",570
"Module tensorflow.python.ops.linalg_ops",570
"Module losses.loss_ops",567
"Module telnetlib",567
"Module tensorflow.contrib.losses.python.losses.loss_ops",567
"Module tensorflow.python.saved_model.builder_impl",565
"Module tensorflow.python.keras.metrics_correctness_test",565
"Module tensorflow.contrib.training.python.training.batch_sequences_with_states_test",564
"Module tempfile",564
"Module tensorflow.python.distribute.cluster_resolver.tpu_cluster_resolver_test",564
"Module tensorflow.contrib.integrate.python.ops.odes",563
"Module tensorflow.python.ops.nn_fused_batchnorm_test",562
"Module tensorflow.python.debug.cli.tensor_format_test",562
"Module tensorflow.python.kernel_tests.template_test",561
"Module tensorflow.contrib.linear_optimizer.python.ops.sdca_ops",560
"Module tensorflow.contrib.gan.python.losses.python.losses_impl_test",559
"Module losses.python.losses_impl_test",559
"Module tokenize",558
"Module tensorflow.contrib.linear_optimizer.python.sdca_estimator_test",558
"Module tensorflow.python.kernel_tests.while_v2_test",557
"Module tensorflow.contrib.distributions.python.kernel_tests.shape_test",555
"Module tensorflow.python.ops.linalg.linalg_impl",555
"Module linalg.linalg_impl",555
"Module tensorflow.tools.dockerfiles.assembler",554
"Module tensorflow.python.keras.layers.gru_v2_test",554
"Module tensorflow.python.framework.common_shapes",553
"Module tensorflow.contrib.tensor_forest.python.tensor_forest",553
"Module tensorflow.python.util.tf_inspect_test",552
"Module tensorflow.python.ops.logging_ops",551
"Module tensorflow.python.kernel_tests.sparse_conditional_accumulator_test",549
"Module uuid",548
"Module tensorflow.python.kernel_tests.linalg.linear_operator_circulant_test",546
"Module tensorflow.python.debug.lib.session_debug_grpc_test",544
"Module tensorflow.compiler.tests.matrix_diag_ops_test",543
"Module tensorflow.python.kernel_tests.tridiagonal_solve_op_test",542
"Module tensorflow.python.keras.engine.base_layer_utils",541
"Module tensorflow.contrib.learn.python.learn.estimators.state_saving_rnn_estimator_test",541
"Module tensorflow.contrib.boosted_trees.estimator_batch.estimator_test",539
"Module tensorflow.contrib.grid_rnn.python.ops.grid_rnn_cell",539
"Module tensorflow.python.kernel_tests.fractional_max_pool_op_test",537
"Module tensorflow.python.util.deprecation",537
"Module parallel_for.gradients_test",536
"Module tensorflow.python.ops.parallel_for.gradients_test",536
"Module tensorflow.python.tools.api.generator.create_python_api",534
"Module encodings.aliases",533
"Module tensorflow.contrib.rnn.python.kernel_tests.lstm_ops_test",533
"Module tensorflow.python.keras.engine.training_arrays",532
"Module tensorflow.python.keras.models",532
"Module tensorflow.python.client.timeline",531
"Module tensorflow.python.kernel_tests.spacetobatch_op_test",530
"Module tensorflow.python.feature_column.sequence_feature_column",527
"Module layers.rev_block_lib",524
"Module tensorflow.contrib.layers.python.layers.rev_block_lib",524
"Module tensorflow.contrib.factorization.python.ops.wals",522
"Module tensorflow.python.kernel_tests.relu_op_test",522
