"m","n"
"Module tensorflow.python.kernel_tests.array_ops.array_ops_test",2055
"Module urllib.request",2010
"Module tensorflow.python.ops.ragged.ragged_tensor_test",1953
"Module ragged.ragged_tensor_test",1953
"Module tensorflow.python.keras.losses",1935
"Module tensorflow.tools.compatibility.tf_upgrade_v2_test",1927
"Script tarfile",1902
"Module tensorflow.python.kernel_tests.check_ops_test",1876
"Module tensorflow.python.keras.engine.base_layer_v1",1871
"Module unittest.mock",1859
"Module tensorflow.python.ops.variables",1853
"Module tensorflow.python.tpu.tensor_tracer",1853
"Module tensorflow.python.training.monitored_session_test",1807
"Module tensorflow.python.eager.polymorphic_function.tracing_compilation_test",1792
"Module tensorflow.python.ops.control_flow_ops",1753
"Module tensorflow.python.client.session_test",1750
"Module tensorflow.python.tpu.tpu_embedding_v3",1724
"Module tensorflow.python.kernel_tests.control_flow.while_v2_test",1724
"Module datetime",1714
"Module tensorflow.python.grappler.layout_optimizer_test",1708
"Module tensorflow.python.ops.numpy_ops.tests.extensions",1700
"Module numpy_ops.tests.extensions",1700
"Module tensorflow.python.debug.cli.analyzer_cli_test",1696
"Module tensorflow.python.ops.structured.structured_tensor_test",1680
"Module structured.structured_tensor_test",1680
"Module tensorflow.python.eager.backprop_test",1671
"Module http.cookiejar",1660
"Module tensorflow.python.ops.nn_test",1656
"Module zipfile",1654
"Module argparse",1653
"Module logging.__init__",1635
"Module tensorflow.python.distribute.input_lib_test",1635
"Module tensorflow.python.ops.numpy_ops.np_array_ops",1628
"Module numpy_ops.np_array_ops",1628
"Module tensorflow.python.ops.init_ops",1620
"Module difflib",1619
"Module tensorflow.python.training.saver",1591
"Module tensorflow.python.kernel_tests.variables.resource_variable_ops_test",1587
"Module tensorflow.python.distribute.tpu_strategy",1583
"Module tensorflow.python.keras.engine.training_utils_v1",1580
"Module tensorflow.python.distribute.input_lib",1573
"Module tensorflow.python.util.nest_test",1559
"Module tensorflow.python.kernel_tests.data_structures.list_ops_test",1556
"Module tensorflow.python.ops.math_grad",1535
"Module tensorflow.python.kernel_tests.collective_ops_test",1527
"Module tensorflow.python.keras.layers.core",1509
"Module tensorflow.python.ops.structured.structured_tensor",1504
"Module structured.structured_tensor",1504
"Module tensorflow.python.client.session",1496
"Module tensorflow.python.util.nest_util",1493
"Module tensorflow.python.kernel_tests.variables.variable_scope_test",1491
"Module tests.binary_ops_test",1491
"Module tensorflow.compiler.tests.binary_ops_test",1491
"Module tensorflow.tools.compatibility.renames_v2",1490
"Module tensorflow.python.kernel_tests.data_structures.tensor_array_ops_test",1488
"Module tensorflow.python.compiler.tensorrt.trt_convert",1478
"Module tensorflow.python.data.kernel_tests.map_test",1472
"Module tkinter.tix",1451
"Module tensorflow.python.eager.polymorphic_function.concrete_function",1445
"Module tensorflow.python.keras.legacy_tf_layers.convolutional",1436
"Module tensorflow.python.framework.function_test",1432
"Module tensorflow.python.ops.rnn",1429
"Module tensorflow.python.ops.linalg.linear_operator",1421
"Module linalg.linear_operator",1421
"Module locale",1413
"Module tensorflow.python.training.input",1409
"Module tensorflow.python.saved_model.save",1408
"Module tensorflow.python.kernel_tests.linalg.sparse.csr_sparse_matrix_ops_test",1394
"Module tensorflow.python.kernel_tests.control_flow.cond_v2_test",1390
"Module tensorflow.python.distribute.coordinator.cluster_coordinator",1387
"Module tensorflow.python.tpu.tpu_embedding_v2",1384
"Module tensorflow.python.ops.gradients_test",1383
"Module tensorflow.python.distribute.values",1378
"Module tensorflow.python.kernel_tests.summary_ops.summary_ops_test",1373
"Module tensorflow.python.framework.tensor_shape",1372
"Module tensorflow.python.eager.polymorphic_function.polymorphic_function",1371
"Module tensorflow.python.framework.convert_to_constants_test",1365
"Module tensorflow.python.debug.lib.debug_data",1362
"Module tests.xla_call_module_test",1357
"Module tensorflow.compiler.tests.xla_call_module_test",1357
"Module linalg.linalg_impl",1354
"Module tensorflow.python.ops.linalg.linalg_impl",1354
"Module tensorflow.python.ops.control_flow_ops_test",1346
"Module tensorflow.python.debug.cli.analyzer_cli",1346
"Module tensorflow.python.training.monitored_session",1341
"Module tensorflow.python.kernel_tests.data_structures.fifo_queue_test",1340
"Module tensorflow.python.tpu.tpu",1331
"Module tensorflow.compiler.mlir.quantization.stablehlo.python.integration_test.quantize_model_test",1325
"Module xml.etree.ElementTree",1324
"Script pdb",1323
"Module tensorflow.python.training.basic_session_run_hooks_test",1319
"Module tensorflow.compiler.mlir.quantization.tensorflow.python.integration_test.quantize_model_test_base",1313
"Module tensorflow.python.saved_model.save_test",1312
"Module tensorflow.python.ops.ctc_ops",1311
"Module tensorflow.python.keras.engine.data_adapter",1311
"Module tensorflow.python.autograph.pyct.cfg_test",1309
"Module typing",1303
"Module tensorflow.python.kernel_tests.nn_ops.losses_test",1300
"Module tensorflow.python.ops.linalg.linear_operator_circulant",1300
"Module linalg.linear_operator_circulant",1300
"Module tests.image_ops_test",1298
"Module tensorflow.compiler.tests.image_ops_test",1298
"Module tkinter.ttk",1295
"Module tensorflow.python.eager.benchmarks_test",1291
"Module tensorflow.python.ops.tensor_array_ops",1273
"Module tensorflow.python.framework.extension_type_test",1268
"Module tensorflow.python.keras.optimizer_v2.optimizer_v2",1267
"Module subprocess",1266
"Module ragged.row_partition",1249
"Module tensorflow.python.ops.ragged.row_partition",1249
"Module logging.handlers",1242
"Module tensorflow.python.kernel_tests.data_structures.padding_fifo_queue_test",1239
"Module tensorflow.python.kernel_tests.math_ops.segment_reduction_ops_test",1236
"Module pickle",1229
"Module tensorflow.python.framework.tensor",1228
"Module numpy_ops.np_math_ops",1219
"Module tensorflow.python.ops.numpy_ops.np_math_ops",1219
"Module tensorflow.python.distribute.coordinator.cluster_coordinator_test",1218
"Module optparse",1214
"Module tensorflow.python.tpu.tpu_embedding_v2_utils",1213
"Module tensorflow.python.distribute.mirrored_strategy_test",1213
"Module tensorflow.python.ops.ref_variable",1206
"Module tensorflow.python.ops.ragged.ragged_dispatch_test",1204
"Module ragged.ragged_dispatch_test",1204
"Module tensorflow.python.ops.summary_ops_v2",1201
"Module tensorflow.python.distribute.multi_process_runner",1198
"Module tensorflow.python.ops.distributions.util",1192
"Module tensorflow.python.keras.layers.pooling",1192
"Module distributions.util",1192
"Module unittest.case",1183
"Module tensorflow.python.distribute.tpu_strategy_test",1183
"Module tensorflow.python.ops.math_ops_test",1175
"Script configure.py",1175
"Module tensorflow.python.framework.op_def_library_test",1167
"Module tensorflow.python.data.experimental.kernel_tests.service.data_service_ops_test",1167
"Module tensorflow.python.eager.backprop",1164
"Module tensorflow.compiler.mlir.tfr.python.tfr_gen",1163
"Module tensorflow.python.kernel_tests.nn_ops.embedding_ops_test",1160
"Module tensorflow.python.checkpoint.checkpoint_test",1159
"Module tensorflow.python.keras.layers.legacy_rnn.rnn_cell_impl",1154
"Module tensorflow.python.util.nest",1153
"Module tensorflow.python.ops.distributions.distribution",1148
"Module distributions.distribution",1148
"Module tensorflow.python.kernel_tests.math_ops.cwise_ops_test",1140
"Module tensorflow.compiler.tests.xla_ops_test",1140
"Module tests.xla_ops_test",1140
"Module tensorflow.python.debug.lib.debug_events_reader",1138
"Module tensorflow.python.ops.parsing_ops",1137
"Module linalg.linear_operator_test_util",1134
"Module tensorflow.python.ops.linalg.linear_operator_test_util",1134
"Module tensorflow.python.kernel_tests.math_ops.sets_test",1133
"Module tensorflow.python.framework.tensor_util_test",1127
"Module tensorflow.python.training.optimizer",1125
"Module pathlib",1121
"Module tensorflow.python.distribute.cross_device_ops_test",1120
"Module structured.structured_array_ops_test",1119
"Module tensorflow.python.ops.structured.structured_array_ops_test",1119
"Module tensorflow.python.debug.lib.session_debug_testlib",1114
"Module tensorflow.python.ops.special_math_ops",1109
"Module importlib._bootstrap_external",1103
"Module numpy_ops.np_array_ops_test",1102
"Module tensorflow.python.ops.numpy_ops.np_array_ops_test",1102
"Module tensorflow.python.tools.saved_model_cli",1101
"Module tensorflow.python.ops.weak_tensor_np_array_ops_test",1084
"Module tensorflow.python.saved_model.saved_model_test",1083
"Module tensorflow.python.distribute.cross_device_ops",1083
"Module tensorflow.python.debug.lib.dumping_callback_test",1083
"Module tensorflow.python.distribute.vars_test",1082
"Module tensorflow.python.keras.engine.functional",1081
"Module tensorflow.python.framework.convert_to_constants",1081
"Module tensorflow.python.framework.function",1081
"Module tensorflow.python.data.experimental.ops.data_service_ops",1077
"Module tensorflow.python.autograph.operators.control_flow_test",1075
"Module tensorflow.python.data.experimental.ops.readers",1069
"Module tests.unary_ops_test",1059
"Module tensorflow.compiler.tests.unary_ops_test",1059
"Module tensorflow.python.kernel_tests.random.random_shuffle_queue_test",1056
"Module tensorflow.lite.python.op_hint",1045
"Module tensorflow.python.ops.embedding_ops",1045
"Module tensorflow.python.tools.saved_model_cli_test",1043
"Module tensorflow.lite.python.convert",1043
"Module tensorflow.python.ops.ragged.ragged_array_ops",1035
"Module ragged.ragged_array_ops",1035
"Module tensorflow.python.framework.func_graph",1034
"Module collections.__init__",1030
"Module tensorflow.python.data.experimental.kernel_tests.parse_example_dataset_test",1028
"Module tensorflow.python.kernel_tests.array_ops.diag_op_test",1022
"Module tensorflow.python.framework.importer_test",1021
"Module tensorflow.python.kernel_tests.math_ops.reduction_ops_test",1020
"Module tensorflow.python.data.kernel_tests.snapshot_test",1019
"Module tensorflow.python.framework.extension_type",1018
"Module ragged.ragged_math_ops",1016
"Module tensorflow.python.ops.ragged.ragged_math_ops",1016
"Module tensorflow.python.ops.distributions.bijector_impl",1008
"Module distributions.bijector_impl",1008
"Module tensorflow.python.training.supervisor",1006
"Module tensorflow.python.framework.config",1005
"Module threading",1004
"Module tensorflow.python.ops.losses.losses_impl",1002
"Module losses.losses_impl",1002
"Module tensorflow.python.ops.init_ops_v2",1001
"Module tensorflow.python.util.dispatch",1000
"Module ConfigParser",997
"Module tensorflow.python.framework.test_util_test",997
"Module configparser",997
"Module tensorflow.python.kernel_tests.sparse_ops.sparse_ops_test",995
"Module tensorflow.python.training.warm_starting_util_test",994
"Module ragged.row_partition_test",994
"Module tensorflow.python.ops.ragged.row_partition_test",994
"Module http.server",987
"Module tensorflow.python.ops.cond_v2",977
"Module tensorflow.python.kernel_tests.nn_ops.conv_ops_3d_test",975
"Module tensorflow.python.debug.cli.debugger_cli_common",970
"Module tensorflow.python.kernel_tests.nn_ops.ctc_loss_op_test",968
"Module tensorflow.python.kernel_tests.sparse_ops.sparse_cross_op_test",965
"Module tensorflow.python.compiler.tensorrt.test.tf_trt_integration_test_base",961
"Module tensorflow.python.compiler.tensorrt.trt_convert_test",960
"Script platform",959
"Module tensorflow.python.kernel_tests.nn_ops.depthwise_conv_op_base",956
"Module tensorflow.python.keras.optimizer_v2.learning_rate_schedule",951
"Module tensorflow.python.ops.weak_tensor_ops_test",950
"Module email.message",948
"Module tensorflow.python.ops.state_ops",947
"Module tensorflow.python.ops.while_v2",945
"Module http.client",940
"Module shutil",938
"Module tensorflow.python.eager.core_test",937
"Module tensorflow.python.distribute.failure_handling.failure_handling",934
"Module ssl",931
"Module tensorflow.python.trackable.base",930
"Module tensorflow.lite.python.util",930
"Module tensorflow.python.ops.functional_ops",927
"Module tensorflow.python.autograph.operators.control_flow",926
"Module tensorflow.python.ops.nn_grad",925
"Module tensorflow.python.framework.tensor_util",922
"Module tensorflow.python.kernel_tests.array_ops.init_ops_test",922
"Module tensorflow.python.training.basic_session_run_hooks",918
"Module tensorflow.python.eager.polymorphic_function.polymorphic_function_xla_jit_test",917
"Module tensorflow.python.kernel_tests.math_ops.cwise_ops_binary_test",916
"Module tensorflow.python.ops.special_math_ops_test",914
"Module tensorflow.python.saved_model.load",906
"Module tensorflow.python.keras.mixed_precision.loss_scale_optimizer",904
"Module tensorflow.python.keras.layers.convolutional_recurrent",897
"Module tensorflow.python.eager.forwardprop_test",894
"Module tensorflow.python.util.deprecation_test",888
"Module tensorflow.python.autograph.impl.api_test",887
"Module tensorflow.python.data.kernel_tests.iterator_test",887
"Module tensorflow.python.keras.utils.generic_utils",886
"Module tensorflow.python.tpu.feature_column_v2",886
"Module tensorflow.python.ops.array_grad",885
"Module sre_parse",884
"Module tensorflow.python.ops.stateful_random_ops",882
"Module tensorflow.lite.python.interpreter",876
"Module tensorflow.python.keras.testing_utils",876
"Module nntplib",870
"Module tensorflow.python.ops.stateless_random_ops",867
"Module tensorflow.python.kernel_tests.signal.fft_ops_test",865
"Module xmlrpc.client",864
"Module tensorflow.python.kernel_tests.control_flow.functional_ops_test",864
"Module tensorflow.python.data.ops.iterator_ops",864
"Module tensorflow.python.framework.meta_graph",864
"Module tensorflow.python.kernel_tests.io_ops.parse_single_example_op_test",860
"Module tensorflow.python.keras.initializers.initializers_v2",859
"Module tensorflow.compiler.tests.conv2d_test",859
"Module tests.conv2d_test",859
"Module tensorflow.tools.compatibility.ast_edits",856
"Module tensorflow.python.lib.io.file_io",856
"Module tensorflow.python.keras.saving.saved_model.load",855
"Module tensorflow.python.framework.flexible_dtypes_test",853
"Module importlib._bootstrap",849
"Module tensorflow.python.distribute.sharded_variable",847
"Module tensorflow.python.ops.script_ops",845
"Module tensorflow.python.framework.type_spec",845
"Module tensorflow.python.kernel_tests.linalg.linear_operator_circulant_test",843
"Module tensorflow.python.ops.numpy_ops.tests.np_indexing_test",842
"Module numpy_ops.tests.np_indexing_test",842
"Module tensorflow.python.tpu.tpu_feed",841
"Module codecs",837
"Module tensorflow.python.kernel_tests.distributions.util_test",836
"Module tensorflow.python.util.dispatch_test",832
"Module tensorflow.python.ops.ragged.ragged_string_ops",831
"Module ragged.ragged_string_ops",831
"Module tensorflow.python.ops.gradients_util",830
"Module tensorflow.python.tools.optimize_for_inference_lib",829
"Module tensorflow.python.data.util.structure_test",829
"Module tensorflow.python.keras.layers.merge",828
"Module tensorflow.python.debug.cli.debugger_cli_common_test",827
"Module tensorflow.python.trackable.data_structures",827
"Module tensorflow.python.distribute.parameter_server_strategy_v2",824
"Module tensorflow.python.ops.weak_tensor_math_ops_test",822
"Module tensorflow.python.ops.linalg.linear_operator_block_lower_triangular",818
"Module linalg.linear_operator_block_lower_triangular",818
"Module distutils.ccompiler",815
"Module tensorflow.python.keras.distribute.distributed_training_utils_v1",814
"Module os",811
"Module tensorflow.python.kernel_tests.array_ops.constant_op_test",804
"Module tensorflow.python.distribute.custom_training_loop_input_test",804
"Module tensorflow.python.ops.parsing_config",792
"Module tensorflow.python.framework.type_spec_test",788
"Module tensorflow.python.kernel_tests.array_ops.scatter_nd_ops_test",788
"Module models",787
"Module tensorflow.examples.speech_commands.models",787
"Module urllib.parse",785
"Module ftplib",785
"Module tensorflow.python.distribute.collective_all_reduce_strategy",784
"Module tensorflow.dtensor.python.tests.tpu_device_assignment_test",783
"Module python.tests.tpu_device_assignment_test",783
"Module tensorflow.python.kernel_tests.variables.variables_test",781
"Module tensorflow.compiler.mlir.quantization.tensorflow.python.quantize_model",781
"Module tensorflow.python.debug.lib.debug_events_writer_test",779
"Module tensorflow.python.ops.ragged.ragged_to_tensor_op_test",775
"Module ragged.ragged_to_tensor_op_test",775
"Module tensorflow.python.tpu.client.client_test",764
"Module tensorflow.python.ops.linalg.linear_operator_identity",764
"Module linalg.linear_operator_identity",764
"Module tensorflow.python.framework.meta_graph_test",763
"Module tensorflow.python.distribute.v1.all_reduce",762
"Module _collections_abc",759
"Module tensorflow.python.kernel_tests.math_ops.bincount_op_test",759
"Module tensorflow.python.debug.lib.dumping_callback",755
"Module tensorflow.python.checkpoint.checkpoint_management",752
"Module tests.conv3d_test",749
"Module tensorflow.compiler.tests.conv3d_test",749
"Module tests.tensor_array_ops_test",746
"Module tensorflow.compiler.tests.tensor_array_ops_test",746
"Module tensorflow.python.autograph.impl.api",740
"Module tensorflow.python.client.timeline",739
"Module tensorflow.python.feature_column.sequence_feature_column_test",739
"Module tensorflow.python.saved_model.load_v1_in_v2_test",737
"Module tensorflow.python.summary.summary",737
"Module python.xla_client",734
"Module third_party.xla.xla.python.xla_client",734
"Module multiprocessing.connection",729
"Module tensorflow.python.grappler.auto_mixed_precision_test",719
"Module tensorflow.python.training.session_manager_test",717
"Module tensorflow.python.keras.optimizer_v2.legacy_learning_rate_decay",717
"Module tensorflow.python.keras.utils.data_utils",717
"Module tensorflow.python.debug.wrappers.framework",714
"Module lib2to3.pytree",712
"Module tensorflow.python.ops.linalg_grad",711
"Module tensorflow.python.framework.dtypes",711
"Module tensorflow.python.ops.sparse_bincount_ops_test",710
"Module tensorflow.python.distribute.mirrored_strategy",709
"Module tensorflow.python.ops.nn_fused_batchnorm_test",709
"Module tensorflow.python.debug.cli.profile_analyzer_cli",708
"Module tensorflow.python.ops.linalg_ops",706
"Module linalg.linear_operator_block_diag",704
"Module tensorflow.python.ops.linalg.linear_operator_block_diag",704
"Module tensorflow.python.distribute.distribute_coordinator_test",704
"Module tensorflow.python.ops.custom_gradient",704
"Module tensorflow.python.training.supervisor_test",704
"Module tensorflow.python.keras.saving.hdf5_format",700
"Module tensorflow.python.keras.engine.base_layer_utils",699
"Module tensorflow.python.distribute.parameter_server_strategy_test",699
"Module xmlrpc.server",697
"Module tensorflow.python.distribute.distribute_coordinator",696
"Module tensorflow.python.autograph.pyct.cfg",696
"Module tensorflow.python.keras.engine.training_generator_v1",693
"Module tensorflow.python.kernel_tests.array_ops.concat_op_test",693
"Module tensorflow.core.function.polymorphism.function_type_test",691
"Module tensorflow.python.eager.polymorphic_function.gradients_test",690
"Module tensorflow.python.data.experimental.kernel_tests.make_csv_dataset_test",690
"Module tensorflow.python.tools.api.generator.create_python_api",688
"Module tensorflow.python.keras.optimizer_v1",687
"Module bdb",685
"Module tensorflow.python.training.training",682
"Module tensorflow.python.distribute.v1.cross_device_ops_test",681
"Module tensorflow.python.tools.optimize_for_inference_test",678
"Module tensorflow.python.framework.config_test",672
"Module tensorflow.python.tools.api.generator2.generator.generator",671
"Module ragged.ragged_reduce_op_test",670
"Module tensorflow.python.ops.ragged.ragged_reduce_op_test",670
"Module tensorflow.python.distribute.ps_values",669
"Module tensorflow.python.distribute.multi_worker_test_base",667
"Module tensorflow.python.kernel_tests.nn_ops.rnn_test",666
"Module tensorflow.python.framework.auto_control_deps_test",664
"Module tensorflow.python.keras.utils.metrics_utils",662
"Module tensorflow.python.kernel_tests.control_flow.py_func_test",658
"Module tensorflow.python.kernel_tests.nn_ops.fractional_max_pool_op_test",658
"Module tensorflow.python.kernel_tests.random.stateful_random_ops_test",657
"Module tensorflow.python.data.ops.options",655
"Module tensorflow.python.debug.lib.debug_v2_ops_test",655
"Module enum",653
"Module tensorflow.python.framework.op_def_library",653
"Module tensorflow.python.kernel_tests.strings_ops.unicode_decode_op_test",652
"Module plistlib",649
"Module tensorflow.python.ops.numpy_ops.tests.test_util",648
"Module numpy_ops.tests.test_util",648
"Module tensorflow.python.training.saving.saveable_object_util",644
"Module tensorflow.tools.tensorflow_builder.compat_checker.compat_checker",643
"Module sre_compile",642
"Module tests.sharding_util_ops_test",641
"Module tensorflow.dtensor.python.tests.device_test",641
"Module python.tests.device_test",641
"Module tensorflow.compiler.tests.sharding_util_ops_test",641
"Module tensorflow.python.checkpoint.restore",640
"Module tensorflow.python.ops.control_flow_state",640
"Module tensorflow.python.distribute.sharded_variable_test",637
"Module tensorflow.compiler.mlir.quantization.tensorflow.python.py_function_lib",635
"Module tests.matrix_diag_ops_test",635
"Module tensorflow.compiler.tests.matrix_diag_ops_test",635
"Module functools",635
"Module tensorflow.python.util.tf_inspect_test",634
"Module tensorflow.python.ops.clustering_ops",631
"Module tensorflow.dtensor.python.tests.multi_mesh_test",630
"Module python.tests.multi_mesh_test",630
"Module multiprocessing.pool",627
"Module tensorflow.python.saved_model.builder_impl",627
"Module tensorflow.python.keras.legacy_tf_layers.variable_scope_shim",626
"Module tensorflow.python.distribute.input_lib_type_spec_test",626
"Module tensorflow.python.profiler.model_analyzer_test",624
"Module tensorflow.python.util.deprecation",624
"Module tensorflow.python.keras.engine.training_distributed_v1",622
"Module tensorflow.python.framework.op_callbacks_test",621
"Module tensorflow.python.data.ops.readers",621
"Module tensorflow.python.training.moving_averages",619
"Module tensorflow.python.trackable.data_structures_test",617
"Module tensorflow.python.autograph.pyct.static_analysis.type_inference_test",617
"Module python.tests.test_util_ops",615
"Module tensorflow.dtensor.python.tests.test_util_ops",615
"Module tensorflow.python.distribute.cluster_resolver.tpu.tpu_cluster_resolver_test",615
"Module tensorflow.python.distribute.collective_all_reduce_strategy_test",615
"Module tensorflow.python.data.experimental.kernel_tests.auto_shard_dataset_test",614
"Module tensorflow.python.debug.wrappers.local_cli_wrapper_test",614
"Module tensorflow.python.tpu.tpu_outside_compilation_test",613
"Module tensorflow.python.autograph.pyct.static_analysis.activity_test",612
"Module ragged.ragged_from_tensor_op_test",611
"Module tensorflow.python.ops.ragged.ragged_from_tensor_op_test",611
"Module tensorflow.python.distribute.experimental.rpc.rpc_ops_test",608
"Module tensorflow.python.distribute.strategy_test_lib",607
"Module dataclasses",607
"Module tensorflow.python.kernel_tests.array_ops.gather_op_test",606
"Module tensorflow.python.checkpoint.sharding.sharding_policies_test",603
"Module tensorflow.python.distribute.strategy_combinations",603
"Module calendar",602
"Module tensorflow.core.function.trace_type.default_types",601
"Module trace_type.default_types",601
"Module tensorflow.python.tpu.tpu_embedding_v3_test",601
"Module tensorflow.python.keras.models",601
"Module tensorflow.python.kernel_tests.data_structures.barrier_ops_test",599
"Module tensorflow.python.ops.template",597
"Module tensorflow.python.tpu.tpu_embedding_v3_cpu_ops_test",596
"Module tensorflow.python.kernel_tests.linalg.tridiagonal_solve_op_test",596
"Module tensorflow.python.kernel_tests.array_ops.shape_ops_test",592
"Module tensorflow.python.distribute.values_test",591
"Module tensorflow.python.ops.math_grad_test",590
"Module tensorflow.compiler.tests.eager_test",589
"Module tests.eager_test",589
"Module tensorflow.python.kernel_tests.io_ops.reader_ops_test",587
"Module tensorflow.python.distribute.strategy_common_test",587
"Module tensorflow.python.ops.parallel_for.math_test",587
"Module parallel_for.math_test",587
"Module tensorflow.python.tpu.tpu_replication",584
"Module tensorflow.python.kernel_tests.nn_ops.pooling_ops_3d_test",579
"Module lib2to3.refactor",579
"Module socket",574
"Module tensorflow.python.data.kernel_tests.interleave_test",574
"Module tensorflow.python.ops.nn_batchnorm_test",572
"Module tensorflow.python.distribute.cross_device_utils",571
"Module tensorflow.python.data.kernel_tests.checkpoint_test_base",570
"Module tensorflow.examples.speech_commands.input_data",568
"Module input_data",568
"Module tensorflow.dtensor.python.tpu_util",566
"Module python.tpu_util",566
"Module tensorflow.python.checkpoint.checkpoint_management_test",566
"Module tensorflow.python.ops.logging_ops",565
"Module tensorflow.python.ops.random_ops",565
"Module tempfile",564
"Module tensorflow.python.eager.remote_test",563
"Module tensorflow.python.data.kernel_tests.shuffle_test",561
"Module tensorflow.python.distribute.parameter_server_strategy_v2_test",561
"Module tensorflow.python.data.kernel_tests.cache_test",559
"Module tokenize",558
"Module tensorflow.python.lib.io.file_io_test",557
"Module tensorflow.lite.testing.zip_test_utils",556
"Module tensorflow.python.keras.engine.compile_utils",555
"Module tensorflow.python.summary.writer.writer_test",554
"Module tensorflow.lite.python.tflite_convert",554
"Module tensorflow.python.eager.wrap_function",553
"Module tensorflow.python.autograph.converters.control_flow_test",553
"Module tensorflow.python.tpu.feature_column",553
"Module tensorflow.python.kernel_tests.array_ops.spacetobatch_op_test",552
"Module tensorflow.python.data.kernel_tests.dataset_test",551
"Module tensorflow.python.distribute.experimental.mirrored_strategy_test",551
"Module tensorflow.python.ops.string_ops",550
"Module tensorflow.python.kernel_tests.math_ops.cwise_ops_unary_test",550
"Module tensorflow.core.function.polymorphism.function_type",549
"Module uuid",548
"Module tensorflow.python.kernel_tests.sparse_ops.sparse_conditional_accumulator_test",548
"Module tests.fake_quant_ops_test",548
"Module tensorflow.compiler.tests.fake_quant_ops_test",548
"Module tensorflow.python.debug.cli.tensor_format_test",546
"Module tensorflow.python.kernel_tests.linalg.linalg_ops_test",545
"Module tensorflow.python.autograph.operators.py_builtins_test",544
"Module tensorflow.python.compiler.tensorrt.model_tests.model_handler",543
"Module tensorflow.python.kernel_tests.nn_ops.fractional_avg_pool_op_test",543
