"m","n"
"Module tensorflow.python.ops.data_flow_ops",2138
"Module tensorflow.python.keras.engine.base_layer",2127
"Module doctest",2098
"Module tensorflow.tools.compatibility.tf_upgrade_v2_test",2064
"Module urllib.request",2010
"Module tensorflow.python.training.input_test",2002
"Module tensorflow.python.ops.nn_impl",1971
"Module tensorflow.python.ops.check_ops",1906
"Script tarfile",1902
"Module tensorflow.python.distribute.distribute_lib",1897
"Module tensorflow.python.ops.lookup_ops",1875
"Module unittest.mock",1859
"Module tensorflow.python.keras.callbacks",1794
"Module tensorflow.python.training.monitored_session_test",1776
"Module tensorflow.python.keras.engine.training_utils",1760
"Module tensorflow.python.kernel_tests.pooling_ops_test",1747
"Module datetime",1714
"Module tensorflow.python.training.tracking.util",1711
"Module tensorflow.python.kernel_tests.boosted_trees.stats_ops_test",1708
"Module tensorflow.python.client.session_test",1705
"Module tensorflow.python.kernel_tests.check_ops_test",1699
"Module python.xla_client_test",1697
"Module tensorflow.compiler.xla.python.xla_client_test",1697
"Module tensorflow.python.keras.backend_test",1691
"Module tensorflow.python.ops.resource_variable_ops",1690
"Module tensorflow.python.debug.cli.analyzer_cli_test",1684
"Module http.cookiejar",1660
"Module tensorflow.python.ops.ragged.ragged_tensor_test",1657
"Module ragged.ragged_tensor_test",1657
"Module zipfile",1654
"Module argparse",1653
"Module tensorflow.python.keras.distribute.distribute_strategy_test",1651
"Module tensorflow.python.eager.context",1650
"Module tensorflow.python.keras.callbacks_test",1644
"Module logging.__init__",1635
"Module difflib",1619
"Module tensorflow.lite.python.lite_test",1614
"Module tensorflow.python.keras.engine.network",1607
"Module tensorflow.compiler.xla.python.xla_client",1569
"Module python.xla_client",1569
"Module tensorflow.tools.compatibility.renames_v2",1561
"Module tensorflow.python.kernel_tests.array_ops_test",1536
"Module tensorflow.python.kernel_tests.variable_scope_test",1513
"Module tensorflow.python.saved_model.load_test",1499
"Module tensorflow.python.keras.layers.recurrent_test",1482
"Module tensorflow.python.training.saver",1478
"Module tensorflow.python.tpu.tpu",1462
"Module tensorflow.python.ops.math_grad",1453
"Module tensorflow.python.client.session",1453
"Module tkinter.tix",1451
"Module tensorflow.python.kernel_tests.tensor_array_ops_test",1430
"Module tensorflow.python.training.tracking.util_test",1428
"Module tensorflow.compiler.tests.binary_ops_test",1426
"Module tensorflow.python.framework.function_test",1420
"Module tensorflow.python.eager.backprop_test",1417
"Module locale",1413
"Module tensorflow.python.layers.convolutional",1412
"Module tensorflow.python.training.input",1404
"Module tensorflow.python.keras.metrics_test",1404
"Module tensorflow.python.tpu.tpu_embedding",1402
"Module tensorflow.python.feature_column.sequence_feature_column_test",1393
"Module tensorflow.python.kernel_tests.list_ops_test",1380
"Module tensorflow.tools.docs.parser",1376
"Module tensorflow.python.keras.engine.network_test",1371
"Module tensorflow.python.ops.rnn",1370
"Module tensorflow.python.debug.lib.debug_data",1366
"Module tensorflow.python.keras.layers.recurrent_v2",1359
"Module tensorflow.python.debug.cli.analyzer_cli",1349
"Module tensorflow.python.keras.layers.preprocessing.text_vectorization_test",1340
"Module tensorflow.python.kernel_tests.linalg.sparse.csr_sparse_matrix_ops_test",1328
"Module tensorflow.python.training.basic_session_run_hooks_test",1324
"Script pdb",1323
"Module tensorflow.python.kernel_tests.fifo_queue_test",1317
"Module tensorflow.python.tpu.tensor_tracer",1316
"Module tensorflow.python.training.monitored_session",1312
"Module typing",1303
"Module tensorflow.python.kernel_tests.losses_test",1302
"Module tkinter.ttk",1295
"Module tensorflow.python.ops.nn_test",1285
"Module tensorflow.python.debug.cli.curses_ui",1275
"Module subprocess",1266
"Module tensorflow.python.debug.cli.curses_ui_test",1253
"Module logging.handlers",1242
"Module tensorflow.python.kernel_tests.padding_fifo_queue_test",1239
"Module tensorflow.python.ops.init_ops",1230
"Module pickle",1229
"Module tensorflow.python.kernel_tests.resource_variable_ops_test",1222
"Module tensorflow.python.grappler.layout_optimizer_test",1221
"Script configure.py",1216
"Module optparse",1214
"Module distributions.util",1192
"Module tensorflow.python.ops.distributions.util",1192
"Module unittest.case",1183
"Module tensorflow.python.keras.losses",1182
"Module tensorflow.python.util.nest",1182
"Module tensorflow.python.ops.tensor_array_ops",1178
"Module tensorflow.python.ops.distributions.distribution",1154
"Module distributions.distribution",1154
"Module tensorflow.python.ops.gradients_test",1142
"Module tensorflow.python.ops.rnn_cell_impl",1139
"Module tensorflow.python.layers.normalization_test",1138
"Module tensorflow.python.framework.op_def_library_test",1130
"Module tensorflow.python.kernel_tests.cond_v2_test",1127
"Module tensorflow.python.keras.losses_test",1123
"Module pathlib",1121
"Module tensorflow.python.debug.lib.session_debug_testlib",1115
"Module tensorflow.python.ops.control_flow_ops_test",1107
"Module importlib._bootstrap_external",1103
"Module tensorflow.python.keras.engine.base_layer_test",1098
"Module tensorflow.python.kernel_tests.sets_test",1091
"Module tensorflow.python.ops.parallel_for.control_flow_ops_test",1090
"Module parallel_for.control_flow_ops_test",1090
"Module tensorflow.python.eager.backprop",1089
"Module tensorflow.python.keras.metrics_confusion_matrix_test",1087
"Module tensorflow.python.framework.tensor_shape",1080
"Module tensorflow.python.kernel_tests.cwise_ops_test",1079
"Module tensorflow.python.distribute.mirrored_strategy_test",1069
"Module tensorflow.python.autograph.pyct.cfg_test",1061
"Module tensorflow.python.kernel_tests.random.random_shuffle_queue_test",1060
"Module tensorflow.python.keras.engine.data_adapter",1051
"Module tensorflow.python.distribute.values_test",1048
"Module tensorflow.python.kernel_tests.summary_ops_test",1048
"Module tensorflow.python.saved_model.saved_model_test",1040
"Module tensorflow.python.ops.summary_ops_v2",1039
"Module tensorflow.python.keras.layers.core",1038
"Module tensorflow.python.distribute.values",1036
"Module tensorflow.python.eager.benchmarks_test",1035
"Module tensorflow.python.debug.lib.dumping_callback_test",1032
"Module tensorflow.python.ops.linalg.linear_operator",1031
"Module linalg.linear_operator",1031
"Module collections.__init__",1030
"Module tensorflow.python.framework.function",1028
"Module tensorflow.python.framework.importer_test",1027
"Module tensorflow.python.compiler.tensorrt.trt_convert",1026
"Module tensorflow.python.eager.def_function",1025
"Module tensorflow.python.training.tracking.data_structures_test",1018
"Module tensorflow.python.kernel_tests.diag_op_test",1017
"Module tensorflow.python.framework.func_graph",1015
"Module tensorflow.python.util.nest_test",1014
"Module distributions.bijector_impl",1013
"Module tensorflow.python.ops.distributions.bijector_impl",1013
"Module tensorflow.python.data.kernel_tests.map_test",1012
"Module tensorflow.python.training.supervisor",1009
"Module tensorflow.python.training.optimizer",1004
"Module threading",1004
"Module tensorflow.python.keras.saving.hdf5_format_test",1001
"Module tensorflow.python.keras.optimizer_v2.optimizer_v2",1000
"Module tensorflow.lite.python.op_hint",999
"Module ConfigParser",997
"Module configparser",997
"Module tensorflow.python.ops.ctc_ops",995
"Module tensorflow.python.layers.convolutional_test",989
"Module http.server",987
"Module tensorflow.python.ops.functional_ops",984
"Module tensorflow.python.framework.tensor_util_test",983
"Module tensorflow.python.training.warm_starting_util_test",978
"Module tensorflow.python.debug.cli.debugger_cli_common",976
"Module tensorflow.python.kernel_tests.init_ops_test",973
"Module tensorflow.python.kernel_tests.rnn_test",968
"Module tensorflow.lite.python.lite",966
"Module tensorflow.python.grappler.hierarchical_controller",966
"Module tensorflow.python.data.experimental.kernel_tests.parse_example_dataset_test",961
"Script platform",959
"Module tensorflow.python.ops.init_ops_v2",957
"Module tensorflow.python.distribute.cross_device_ops",957
"Module linalg.linalg_impl",956
"Module tensorflow.python.ops.linalg.linalg_impl",956
"Module tensorflow.python.ops.parsing_ops",953
"Module email.message",948
"Module tensorflow.python.kernel_tests.functional_ops_test",946
"Module tensorflow.python.ops.nn_grad",945
"Module tensorflow.python.keras.optimizer_v2.optimizer_v2_test",941
"Module http.client",940
"Module tensorflow.python.keras.layers.wrappers_test",938
"Module shutil",938
"Module ssl",931
"Module tensorflow.python.distribute.input_lib",925
"Module tensorflow.python.kernel_tests.reduction_ops_test",922
"Module tensorflow.python.keras.layers.convolutional_recurrent",915
"Module tensorflow.python.ops.linalg.linear_operator_circulant",906
"Module linalg.linear_operator_circulant",906
"Module tensorflow.python.keras.layers.normalization",903
"Module tensorflow.python.training.basic_session_run_hooks",902
"Module tensorflow.python.data.experimental.ops.readers",897
"Module tensorflow.python.kernel_tests.embedding_ops_test",896
"Module tensorflow.python.eager.forwardprop_test",891
"Module distutils.dist",889
"Module tensorflow.python.keras.optimizer_v2.learning_rate_schedule",889
"Module sre_parse",884
"Module tensorflow.python.keras.layers.pooling",883
"Module tensorflow.python.keras.engine.data_adapter_test",880
"Module experimental.keras_test",879
"Module tensorflow.python.keras.mixed_precision.experimental.keras_test",879
"Module tensorflow.python.eager.core_test",872
"Module nntplib",870
"Module tensorflow.tools.compatibility.ast_edits",868
"Module tensorflow.compiler.tests.unary_ops_test",865
"Module tensorflow.python.framework.meta_graph",865
"Module xmlrpc.client",864
"Module linalg.linear_operator_test_util",861
"Module tensorflow.python.ops.linalg.linear_operator_test_util",861
"Module tensorflow.python.distribute.input_lib_test",853
"Module tensorflow.python.debug.cli.debugger_cli_common_test",850
"Module tensorflow.python.keras.distribute.distributed_training_utils",850
"Module tensorflow.python.tools.saved_model_cli",849
"Module importlib._bootstrap",849
"Module tensorflow.python.keras.layers.lstm_v2_test",842
"Module tensorflow.python.kernel_tests.segment_reduction_ops_test",842
"Module tensorflow.python.kernel_tests.while_v2_test",837
"Module codecs",837
"Module tensorflow.python.kernel_tests.distributions.util_test",836
"Module tensorflow.python.debug.lib.debug_events_reader",832
"Module tensorflow.python.ops.while_v2",821
"Module tensorflow.python.tpu.tpu_feed",821
"Module tensorflow.python.ops.state_ops",818
"Module tensorflow.python.kernel_tests.parse_single_example_op_test",818
"Module tensorflow.python.framework.tensor_util",816
"Module distutils.ccompiler",815
"Module os",811
"Module tensorflow.python.autograph.operators.control_flow",810
"Script cgi",809
"Module tensorflow.python.autograph.operators.control_flow_deprecated_py2",808
"Module tensorflow.compiler.tests.image_ops_test",807
"Module tensorflow.python.data.kernel_tests.iterator_test",806
"Module tensorflow.python.training.tracking.base",806
"Module tensorflow.python.ops.stateful_random_ops",806
"Module tensorflow.python.distribute.mirrored_strategy",803
"Module tensorflow.python.training.tracking.util_with_v1_optimizers_test",802
"Module losses.losses_impl",800
"Module tensorflow.python.ops.losses.losses_impl",800
"Module tensorflow.python.ops.cond_v2",798
"Module tensorflow.python.kernel_tests.sparse_ops_test",797
"Module tensorflow.python.keras.utils.data_utils",796
"Module models",792
"Module tensorflow.examples.speech_commands.models",792
"Module tensorflow.python.training.tracking.data_structures",790
"Module tensorflow.python.ops.parsing_config",788
"Module ftplib",785
"Module urllib.parse",785
"Module tensorflow.python.ops.array_grad",784
"Module tensorflow.python.saved_model.save",783
"Module tensorflow.python.kernel_tests.cwise_ops_binary_test",781
"Module tensorflow.python.framework.meta_graph_test",768
"Module tensorflow.python.ops.ragged.ragged_dispatch_test",768
"Module ragged.ragged_dispatch_test",768
"Module tensorflow.python.distribute.all_reduce",765
"Module tensorflow.python.autograph.impl.api_test",761
"Module _collections_abc",759
"Module tensorflow.python.util.deprecation_test",758
"Module tensorflow.python.ops.embedding_ops",755
"Module tensorflow.compiler.tests.conv2d_test",755
"Module tensorflow.python.kernel_tests.constant_op_test",754
"Module tensorflow.python.ops.ragged.ragged_to_tensor_op_test",752
"Module ragged.ragged_to_tensor_op_test",752
"Module tensorflow.python.tpu.feature_column_v2",752
"Module tensorflow.compiler.tests.tensor_array_ops_test",749
"Module tensorflow.python.kernel_tests.variables_test",746
"Module tensorflow.python.keras.layers.local",741
"Module tensorflow.python.ops.gradients_util",740
"Module multiprocessing.connection",729
"Module tensorflow.python.training.session_manager_test",720
"Module tensorflow.python.distribute.distribute_coordinator_test",720
"Module tensorflow.python.debug.wrappers.framework",720
"Module tensorflow.python.keras.testing_utils",717
"Module tensorflow.python.training.learning_rate_decay",714
"Module tensorflow.python.eager.function_gradients_test",714
"Module tensorflow.python.training.supervisor_test",713
"Module lib2to3.pytree",712
"Module tensorflow.python.debug.cli.profile_analyzer_cli",711
"Module tensorflow.python.keras.engine.training_generator",702
"Module tensorflow.python.compiler.tensorrt.trt_convert_test",701
"Module ragged.ragged_string_ops",699
"Module tensorflow.python.ops.ragged.ragged_string_ops",699
"Module xmlrpc.server",697
"Module tensorflow.python.data.ops.iterator_ops",696
"Module tensorflow.python.keras.optimizers",692
"Module tensorflow.python.distribute.distribute_coordinator",691
"Module tensorflow.python.kernel_tests.conv_ops_3d_test",686
"Module bdb",685
"Module tensorflow.python.keras.layers.convolutional_test",676
"Module tensorflow.python.keras.saving.hdf5_format",675
"Module tensorflow.python.kernel_tests.reader_ops_test",667
"Module tensorflow.python.debug.lib.dumping_callback",665
"Module tensorflow.python.debug.wrappers.local_cli_wrapper_test",658
"Module tensorflow.python.compiler.tensorrt.test.tf_trt_integration_test_base",657
"Module tensorflow.python.lib.io.file_io",656
"Module tensorflow.python.framework.test_util_test",655
"Module tensorflow.python.keras.applications.nasnet",653
"Module enum",653
"Module tensorflow.python.kernel_tests.unicode_decode_op_test",653
"Module tensorflow.python.keras.layers.preprocessing.text_vectorization",652
"Module tensorflow.python.data.experimental.kernel_tests.parallel_interleave_test",651
"Module plistlib",649
"Module tensorflow.tools.tensorflow_builder.compat_checker.compat_checker",648
"Module tensorflow.python.data.util.structure_test",647
"Module tensorflow.python.data.experimental.kernel_tests.make_csv_dataset_test",645
"Module tensorflow.python.autograph.impl.api",645
"Module tensorflow.python.kernel_tests.ctc_loss_op_test",642
"Module tensorflow.python.autograph.pyct.cfg",642
"Module sre_compile",642
"Module tensorflow.python.framework.op_callbacks_test",641
"Module tensorflow.python.tools.saved_model_cli_test",637
"Module functools",635
"Module tensorflow.python.training.checkpoint_management",633
"Module tensorflow.python.keras.engine.base_layer_utils",631
"Module tensorflow.python.profiler.model_analyzer_test",630
"Module tensorflow.python.distribute.cross_device_utils",630
"Module tensorflow.python.ops.control_flow_state",629
"Module tensorflow.python.keras.layers.normalization_test",629
"Module multiprocessing.pool",627
"Module tensorflow.python.distribute.parameter_server_strategy_test",627
"Module tensorflow.python.ops.clustering_ops",626
"Module tensorflow.python.keras.utils.generic_utils",625
"Module tensorflow.python.keras.engine.training_distributed",624
"Module tensorflow.python.ops.linalg_ops",622
"Module tensorflow.python.ops.special_math_ops",621
"Module tensorflow.python.ops.structured.structured_tensor",619
"Module structured.structured_tensor",619
"Module tensorflow.python.ops.nn_fused_batchnorm_test",617
"Module tensorflow.python.keras.layers.merge",617
"Module tensorflow.python.ops.stateful_random_ops_test",617
"Module tensorflow.python.kernel_tests.concat_op_test",614
"Module tensorflow.python.tools.api.generator.create_python_api",614
"Module tensorflow.python.kernel_tests.scatter_nd_ops_test",613
"Module tensorflow.python.keras.layers.wrappers",608
"Module tensorflow.compiler.tests.matrix_diag_ops_test",608
"Module tensorflow.python.keras.engine.training_v2",606
"Module tensorflow.python.distribute.cross_device_ops_test",606
"Module tensorflow.python.distribute.tpu_strategy",606
"Module tensorflow.python.ops.linalg.linear_operator_identity",604
"Module linalg.linear_operator_identity",604
"Module tensorflow.python.ops.linalg_grad",602
"Module calendar",602
"Module tensorflow.python.kernel_tests.barrier_ops_test",599
"Module tensorflow.tools.compatibility.all_renames_v2",595
"Module tensorflow.python.distribute.cluster_resolver.tpu_cluster_resolver_test",595
"Module tensorflow.python.grappler.auto_mixed_precision_test",592
"Module tensorflow.compiler.tests.eager_test",590
"Module tensorflow.tools.docs.parser_test",587
"Module tensorflow.python.kernel_tests.shape_ops_test",583
"Module tensorflow.python.keras.layers.gru_v2_test",582
"Module lib2to3.refactor",579
"Module tensorflow.python.ops.template",577
"Module tensorflow.python.kernel_tests.py_func_test",575
"Module tensorflow.python.keras.optimizer_v2.gradient_descent_test",575
"Module tensorflow.python.ops.random_ops",575
"Module socket",574
"Module tensorflow.examples.speech_commands.input_data",572
"Module input_data",572
"Module tensorflow.python.keras.models",571
"Module tensorflow.python.kernel_tests.tridiagonal_solve_op_test",570
"Module tensorflow.python.framework.op_def_library",570
"Module tensorflow.python.saved_model.builder_impl",569
"Module tensorflow.python.ops.nn_batchnorm_test",568
"Module telnetlib",567
"Module tensorflow.lite.python.lite_v2_test",566
"Module tensorflow.python.kernel_tests.depthwise_conv_op_test",566
"Module tensorflow.python.keras.model_subclassing_test",565
"Module tensorflow.python.keras.metrics_correctness_test",565
"Module tempfile",564
"Module tensorflow.python.debug.cli.tensor_format_test",562
"Module tensorflow.python.kernel_tests.template_test",561
"Module tensorflow.python.keras.applications.efficientnet",559
"Module tensorflow.python.kernel_tests.linalg.linear_operator_circulant_test",558
"Module tensorflow.python.framework.config",558
"Module tensorflow.python.ops.special_math_ops_test",558
"Module tokenize",558
"Module tensorflow.python.saved_model.load_v1_in_v2_test",556
"Module tensorflow.python.distribute.strategy_test_lib",554
"Module tensorflow.python.ops.logging_ops",554
"Module tensorflow.tools.dockerfiles.assembler",554
"Module tensorflow.python.distribute.collective_all_reduce_strategy_test",553
"Module tensorflow.python.util.tf_inspect_test",552
"Module tensorflow.python.eager.def_function_test",552
"Module tensorflow.python.keras.distribute.keras_utils_test",550
"Module tensorflow.python.kernel_tests.sparse_conditional_accumulator_test",549
"Module uuid",548
"Module tensorflow.python.debug.lib.debug_v2_ops_test",548
"Module tensorflow.python.tpu.feature_column",547
"Module tensorflow.python.framework.dtypes",547
"Module tensorflow.lite.testing.model_coverage.model_coverage_lib",547
"Module tensorflow.python.debug.lib.session_debug_grpc_test",544
"Module tensorflow.python.keras.saving.saved_model.saved_model_test",542
"Module tensorflow.python.ops.math_ops_test",541
"Module tensorflow.python.util.deprecation",537
"Module tensorflow.python.kernel_tests.fractional_max_pool_op_test",537
"Module tensorflow.python.ops.parallel_for.gradients_test",536
"Module parallel_for.gradients_test",536
"Module tensorflow.python.keras.engine.training_arrays",536
"Module encodings.aliases",533
"Module tensorflow.python.kernel_tests.signal.fft_ops_test",532
"Module tensorflow.python.client.timeline",531
"Module tensorflow.python.kernel_tests.spacetobatch_op_test",530
"Module tensorflow.python.feature_column.dense_features_test",530
"Module tensorflow.python.framework.convert_to_constants",529
"Module ragged.ragged_from_tensor_op_test",528
"Module tensorflow.python.ops.ragged.ragged_from_tensor_op_test",528
"Module tensorflow.python.feature_column.sequence_feature_column",526
"Module tensorflow.python.saved_model.save_test",525
"Module tensorflow.python.autograph.impl.conversion",525
"Module tensorflow.python.keras.saving.saved_model.load",520
"Module tensorflow.python.layers.base_test",520
"Module tensorflow.python.data.experimental.kernel_tests.optimization.map_vectorization_test",517
"Module SocketServer",516
"Module socketserver",516
"Module tensorflow.python.ops.ragged.ragged_array_ops",516
"Module ragged.ragged_array_ops",516
"Module tensorflow.python.eager.wrap_function",516
"Module tensorflow.tools.compatibility.ast_edits_test",513
"Module ragged.ragged_math_ops",513
"Module tensorflow.python.ops.ragged.ragged_math_ops",513
"Module tensorflow.python.ops.ragged.ragged_tensor_shape",512
"Module ragged.ragged_tensor_shape",512
"Module random",512
"Module sysconfig",511
"Module tensorflow.python.keras.utils.composite_tensor_support_test",510
"Module tensorflow.python.kernel_tests.partitioned_variables_test",510
"Module tensorflow.compiler.tests.depthwise_conv_op_test",509
"Module tensorflow.lite.python.tflite_convert",509
"Module pkgutil",506
"Module mimetypes",505
"Module tensorflow.python.autograph.operators.control_flow_test",505
"Module concurrent.futures._base",504
"Module ragged.ragged_batch_gather_op_test",503
"Module tensorflow.python.ops.ragged.ragged_batch_gather_op_test",503
"Module tensorflow.python.kernel_tests.relu_op_test",501
"Module tensorflow.python.ops.math_grad_test",500
"Module tensorflow.python.framework.config_test",499
"Module weakref",497
"Module tensorflow.python.lib.io.file_io_test",497
"Module tensorflow.python.ops.distributions.transformed_distribution",496
"Module distributions.transformed_distribution",496
"Module tensorflow.tools.tensorflow_builder.config_detector.config_detector",494
"Module tensorflow.python.training.moving_averages",494
"Module fractions",494
"Module contextlib",494
"Module tensorflow.python.training.momentum_test",493
"Module tensorflow.python.keras.preprocessing.image",493
"Module tensorflow.python.feature_column.dense_features_v2_test",492
"Module tensorflow.python.distribute.multi_worker_test_base",492
"Module parallel_for.math_test",490
"Module tensorflow.python.ops.parallel_for.math_test",490
"Module tensorflow.python.keras.mixed_precision.experimental.policy",490
"Module experimental.policy",490
"Module tensorflow.python.layers.base",489
"Module tensorflow.python.kernel_tests.cwise_ops_unary_test",487
"Module tensorflow.compiler.tests.pooling_ops_test",486
"Module tensorflow.python.distribute.parameter_server_strategy",486
"Script base64",485
"Module traceback",485
"Module tensorflow.python.debug.wrappers.local_cli_wrapper",485
"Module pprint",485
"Module tensorflow.python.keras.applications.resnet",484
"Module tensorflow.python.summary.writer.writer_test",483
"Module tensorflow.python.ops.script_ops",479
"Module tensorflow.python.layers.core_test",479
"Module tensorflow.python.training.session_manager",478
"Module tensorflow.python.keras.engine.training_dataset_test",477
"Module tensorflow.python.keras.distribute.keras_correctness_test_base",475
"Module distutils.command.build_ext",475
"Module selectors",474
"Module tensorflow.python.data.experimental.kernel_tests.csv_dataset_test",473
"Module tensorflow.python.data.ops.multi_device_iterator_ops",472
"Module tensorflow.python.training.checkpoint_management_test",470
"Module tensorflow.python.ops.ragged.ragged_dispatch",469
"Script webbrowser",469
"Module ragged.ragged_dispatch",469
"Module tensorflow.tools.docs.generate_lib",467
"Module tensorflow.python.autograph.converters.control_flow",466
"Module tensorflow.compiler.tests.jit_test",466
"Module tensorflow.python.autograph.converters.control_flow_deprecated_py2",464
"Module tensorflow.python.training.warm_starting_util",463
"Module tensorflow.python.distribute.mirrored_variable_test",461
"Module tensorflow.python.kernel_tests.fractional_avg_pool_op_test",461
"Module concurrent.futures.process",461
"Module tensorflow.python.kernel_tests.morphological_ops_test",460
"Module tensorflow.python.saved_model.load",460
"Module tensorflow.python.ops.custom_gradient",460
"Module tensorflow.python.framework.graph_util_test",458
"Module tensorflow.python.kernel_tests.gather_op_test",457
"Module tensorflow.python.data.experimental.kernel_tests.copy_to_device_test",457
"Module ntpath",457
"Module tensorflow.python.keras.layers.cudnn_recurrent",456
"Module tensorflow.python.keras.optimizer_v2.rmsprop_test",456
"Module tensorflow.python.debug.cli.command_parser",453
"Module dis",453
"Module tensorflow.python.compiler.xla.xla",452
"Module tensorflow.python.training.server_lib_test",452
"Module email.headerregistry",451
"Module ragged.ragged_tensor_shape_test",450
"Module lib2to3.pgen2.tokenize",450
"Module tensorflow.python.ops.ragged.ragged_tensor_shape_test",450
"Module tensorflow.lite.python.interpreter",447
"Module tensorflow.python.keras.optimizer_v2.adam_test",447
"Module tensorflow.python.keras.engine.training_generator_test",447
"Module gzip",447
"Module tensorflow.python.training.experimental.loss_scaling_gradient_tape_test",446
"Module gettext",446
"Module tensorflow.python.client.session_clusterspec_prop_test",445
"Module tensorflow.python.keras.layers.local_test",445
"Module tensorflow.python.kernel_tests.linalg_ops_test",442
"Module tensorflow.python.keras.saving.saved_model.save_impl",441
"Module tensorflow.python.distribute.distribute_lib_test",441
"Module tensorflow.python.data.experimental.kernel_tests.serialization.dataset_serialization_test_base",441
"Module tensorflow.python.keras.layers.dense_attention",440
"Module tensorflow.python.keras.optimizer_v2.learning_rate_schedule_test",439
"Module tensorflow.python.kernel_tests.distributions.normal_test",438
"Module tensorflow.python.ops.string_ops",438
"Module tensorflow.python.framework.errors_impl",438
"Module tensorflow.python.kernel_tests.substr_op_test",437
"Module tensorflow.python.training.sync_replicas_optimizer",437
"Module tensorflow.python.data.ops.readers",437
"Module tensorflow.python.autograph.pyct.common_transformers.anf",436
"Module tensorflow.lite.experimental.examples.lstm.rnn_cell",436
"Module email.header",435
"Module tensorflow.python.debug.cli.tensor_format",435
"Module tensorflow.python.keras.models_test",434
"Module tensorflow.python.kernel_tests.map_stage_op_test",434
"Module tensorflow.python.module.module_test",433
"Module tensorflow.python.training.checkpoint_ops",433
"Module tensorflow.python.distribute.collective_all_reduce_strategy",433
"Module tensorflow.python.autograph.pyct.inspect_utils_test",433
"Module tensorflow.python.kernel_tests.pooling_ops_3d_test",431
"Module tensorflow.python.keras.keras_parameterized_test",431
"Module tensorflow.python.keras.callbacks_v1_test",428
"Module tensorflow.python.debug.lib.grpc_debug_server",427
"Module warnings",425
"Module tensorflow.python.training.server_lib",424
"Module tensorflow.python.keras.saving.saved_model_experimental_test",424
"Module tensorflow.python.framework.error_interpolation",423
"Module tensorflow.python.framework.type_spec",422
"Module email._parseaddr",422
"Module tensorflow.python.ops.io_ops",421
"Module tensorflow.python.eager.wrap_function_test",420
"Module site",420
"Module tensorflow.python.distribute.minimize_loss_test",420
"Module tensorflow.python.autograph.converters.control_flow_test",420
"Module tensorflow.python.training.coordinator",419
"Module tensorflow.python.ops.image_grad_test",419
"Module tensorflow.lite.python.convert",419
"Module tensorflow.python.layers.pooling",419
"Module tensorflow.python.kernel_tests.transpose_op_test",418
"Module tensorflow.python.keras.optimizer_v2.adagrad_test",416
"Module tensorflow.python.tpu.feature_column_v2_test",416
"Module tensorflow.compiler.tests.variable_ops_test",415
"Module tensorflow.python.framework.graph_util_impl",415
"Module tensorflow.python.kernel_tests.distributions.student_t_test",415
"Module tensorflow.python.eager.tensor_test",414
"Module tensorflow.python.keras.layers.core_test",414
"Module tensorflow.python.framework.tensor_shape_test",414
"Module tensorflow.python.kernel_tests.proto.proto_op_test_base",413
"Module tensorflow.python.debug.lib.check_numerics_callback_test",413
"Module tensorflow.python.ops.linalg.linear_operator_util",412
"Module tensorflow.python.training.rmsprop_test",412
