"m","n"
"Module tensorflow.examples.image_retraining.retrain",875
"Module tensorflow.contrib.legacy_seq2seq.python.kernel_tests.seq2seq_test",872
"Module nntplib",870
"Module tensorflow.python.training.basic_session_run_hooks_test",869
"Module xmlrpc.client",864
"Module tensorflow.python.training.monitored_session",858
"Module importlib._bootstrap",849
"Module tensorflow.python.framework.importer_test",847
"Module tensorflow.python.ops.check_ops",841
"Module keras.callbacks",839
"Module tensorflow.contrib.keras.python.keras.callbacks",839
"Module codecs",837
"Module tensorflow.contrib.linear_optimizer.python.kernel_tests.sdca_ops_test",836
"Module tensorflow.tensorboard.backend.event_processing.event_accumulator_test",833
"Module tensorflow.python.framework.function",833
"Module tensorflow.python.debug.cli.debugger_cli_common_test",830
"Module tensorflow.contrib.layers.python.layers.feature_column_test",830
"Module layers.feature_column_test",830
"Module tensorflow.contrib.learn.python.learn.estimators.linear",827
"Module tensorflow.contrib.learn.python.learn.estimators.dnn",825
"Module tensorflow.python.kernel_tests.check_ops_test",822
"Module distutils.ccompiler",815
"Module os",811
"Module tensorflow.contrib.factorization.python.ops.factorization_ops",808
"Module tensorflow.tools.quantization.quantize_graph_test",800
"Module tensorflow.contrib.tensor_forest.python.tensor_forest",786
"Module ftplib",785
"Module urllib.parse",785
"Module layers.embedding_ops",763
"Module tensorflow.contrib.layers.python.layers.embedding_ops",763
"Module _collections_abc",759
"Module tensorflow.python.kernel_tests.array_ops_test",758
"Module tensorflow.contrib.learn.python.learn.estimators.state_saving_rnn_estimator",755
"Module tensorflow.python.debug.lib.stepper_test",746
"Module tensorflow.python.ops.gradients_impl",746
"Module tensorflow.python.ops.nn_test",745
"Module tensorflow.python.ops.math_grad",728
"Module tensorflow.contrib.learn.python.learn.learn_io.graph_io",727
"Module tensorflow.python.framework.tensor_shape",720
"Module tensorflow.contrib.labeled_tensor.python.ops.ops_test",717
"Module lib2to3.pytree",712
"Module tensorflow.contrib.keras.python.keras.layers.core",711
"Module keras.layers.core",711
"Module tensorflow.tensorboard.backend.event_processing.event_accumulator",710
"Module tensorflow.python.kernel_tests.reduction_ops_test",702
"Module tensorflow.python.framework.tensor_util_test",701
"Module tensorflow.python.debug.lib.stepper",701
"Module tensorflow.python.training.supervisor_test",700
"Module xmlrpc.server",697
"Module tensorflow.contrib.learn.python.learn.learn_io.data_feeder",692
"Module bdb",685
"Module tensorflow.contrib.graph_editor.select",685
"Module tensorflow.compiler.tests.binary_ops_test",680
"Module tensorflow.python.estimator.estimator",680
"Module tensorflow.contrib.distributions.python.ops.operator_pd",679
"Module tensorflow.contrib.learn.python.learn.estimators.dynamic_rnn_estimator_test",678
"Module tensorflow.contrib.seq2seq.python.kernel_tests.attention_wrapper_test",677
"Module kernel_tests.attention_wrapper_test",677
"Module tensorflow.contrib.learn.python.learn.experiment_test",676
"Module tensorflow.contrib.slim.python.slim.learning_test",675
"Module tensorflow.python.debug.cli.tensor_format_test",665
"Module tensorflow.python.training.optimizer",658
"Module tensorflow.contrib.learn.python.learn.learn_io.graph_io_test",657
"Module enum",653
"Module plistlib",649
"Module tensorflow.contrib.labeled_tensor.python.ops.core_test",647
"Module tensorflow.contrib.learn.python.learn.dataframe.tensorflow_dataframe",646
"Module tensorflow.contrib.slim.python.slim.nets.inception_v3",644
"Module tensorflow.contrib.learn.python.learn.monitors_test",644
"Module tensorflow.contrib.distributions.python.ops.bijectors.bijector_impl",643
"Module bijectors.bijector_impl",643
"Module sre_compile",642
"Module ops.variables",639
"Module tensorflow.contrib.framework.python.ops.variables",639
"Module tensorflow.python.kernel_tests.reader_ops_test",638
"Module functools",635
"Module tensorflow.contrib.distributions.python.kernel_tests.bijectors.affine_test",625
"Module tensorflow.python.kernel_tests.sparse_ops_test",620
"Module layers.embedding_ops_test",614
"Module tensorflow.contrib.layers.python.layers.embedding_ops_test",614
"Module tensorflow.tensorboard.backend.application",608
"Module tensorflow.tensorboard.plugins.projector.projector_plugin",606
"Module tensorflow.contrib.keras.python.keras.layers.pooling",604
"Module keras.layers.pooling",604
"Module tensorflow.python.kernel_tests.constant_op_test",603
"Module calendar",602
"Module keras.optimizers",600
"Module tensorflow.contrib.keras.python.keras.optimizers",600
"Module tensorflow.python.framework.test_util",599
"Module tensorflow.contrib.distributions.python.ops.distribution_util",598
"Module tensorflow.contrib.rnn.python.kernel_tests.core_rnn_cell_test",598
"Module tensorflow.contrib.keras.python.keras.layers.convolutional_test",597
"Module keras.layers.convolutional_test",597
"Module tensorflow.contrib.slim.python.slim.data.tfexample_decoder_test",596
"Module tensorflow.python.framework.tensor_util",594
"Module tensorflow.python.framework.op_def_library",593
"Module tensorflow.contrib.learn.python.learn.experiment",590
"Module tensorflow.contrib.learn.python.learn.utils.saved_model_export_utils_test",588
"Module tensorflow.contrib.learn.python.learn.graph_actions",588
"Module tensorflow.contrib.learn.python.learn.estimators.state_saving_rnn_estimator_test",586
"Module tensorflow.python.training.session_manager_test",586
"Module tensorflow.contrib.linalg.python.ops.linear_operator",584
"Module tensorflow.python.kernel_tests.barrier_ops_test",581
"Module lib2to3.refactor",579
"Module tensorflow.python.kernel_tests.embedding_ops_test",577
"Module tensorflow.contrib.training.python.training.sequence_queueing_state_saver_test",576
"Module tensorflow.contrib.learn.python.learn.graph_actions_test",575
"Module tensorflow.python.ops.losses.losses_impl",574
"Module socket",574
"Module keras.engine.training_test",574
"Module tensorflow.contrib.keras.python.keras.engine.training_test",574
"Module tensorflow.contrib.graph_editor.subgraph",573
"Module losses.loss_ops",571
"Module tensorflow.contrib.losses.python.losses.loss_ops",571
"Module tensorflow.python.ops.control_flow_ops_test",569
"Module tensorflow.contrib.slim.python.slim.nets.inception_v2",569
"Module tensorflow.tensorboard.plugins.projector.projector_plugin_test",569
"Module tensorflow.contrib.rnn.python.ops.lstm_ops",568
"Module tempfile",564
"Module tensorflow.contrib.factorization.python.ops.factorization_ops_test",563
"Module tensorflow.python.training.basic_session_run_hooks",562
"Module tensorflow.contrib.linalg.python.ops.linear_operator_identity",561
"Module tensorflow.python.ops.nn_grad",560
"Module tokenize",558
"Module tensorflow.contrib.distributions.python.kernel_tests.shape_test",556
"Module tensorflow.tools.compatibility.tf_upgrade",556
"Module tensorflow.contrib.linear_optimizer.python.sdca_estimator",556
"Module tensorflow.python.util.deprecation_test",552
"Module tensorflow.python.kernel_tests.concat_op_test",552
"Module uuid",548
"Module tensorflow.python.framework.common_shapes",547
"Module tensorflow.python.ops.nn_batchnorm_test",545
"Module tensorflow.python.layers.convolutional_test",541
"Module tensorflow.python.framework.meta_graph",537
"Module tensorflow.contrib.linalg.python.ops.linear_operator_test_util",537
"Module tensorflow.python.layers.pooling",534
"Module encodings.aliases",533
"Module tensorflow.python.client.timeline",530
"Module tensorflow.contrib.graph_editor.transform",530
"Module tensorflow.python.kernel_tests.segment_reduction_ops_test",529
"Module tensorflow.python.kernel_tests.fractional_max_pool_op_test",524
"Module tensorflow.contrib.training.python.training.batch_sequences_with_states_test",518
"Module socketserver",516
"Module tensorflow.contrib.keras.python.keras.callbacks_test",516
"Module keras.callbacks_test",516
"Module SocketServer",516
"Module tensorflow.contrib.keras.python.keras.layers.convolutional_recurrent",512
"Module random",512
"Module tensorflow.python.debug.wrappers.framework",512
"Module keras.layers.convolutional_recurrent",512
"Module tensorflow.contrib.distributions.python.ops.wishart",511
"Module sysconfig",511
"Module pkgutil",506
"Module tensorflow.contrib.distributions.python.kernel_tests.mixture_test",506
"Module mimetypes",505
"Module tensorflow.python.kernel_tests.variables_test",504
"Module tensorflow.python.saved_model.saved_model_test",501
"Module weakref",497
"Module contextlib",494
"Module tensorflow.python.ops.functional_ops",491
"Module tensorflow.python.kernel_tests.spacetobatch_op_test",490
"Module tensorflow.python.ops.gradients_test",490
"Module tensorflow.python.framework.dtypes",488
"Module pprint",485
"Module bijectors.affine_impl",485
"Module ops.attention_wrapper",485
"Script base64",485
"Module tensorflow.contrib.seq2seq.python.ops.attention_wrapper",485
"Module tensorflow.contrib.distributions.python.ops.bijectors.affine_impl",485
"Module traceback",485
"Module selectors",474
"Module tensorflow.python.kernel_tests.conv_ops_3d_test",472
"Module tensorflow.python.estimator.model_fn_test",471
"Module tensorflow.contrib.factorization.python.ops.clustering_ops",469
"Script webbrowser",469
"Module tensorflow.python.kernel_tests.partitioned_variables_test",465
"Module tensorflow.python.kernel_tests.sparse_conditional_accumulator_test",462
"Module tensorflow.python.debug.cli.stepper_cli",462
"Module tensorflow.python.kernel_tests.fractional_avg_pool_op_test",461
"Module tensorflow.tensorboard.backend.application_test",461
"Module tensorflow.contrib.grid_rnn.python.kernel_tests.grid_rnn_test",459
"Module tensorflow.python.kernel_tests.morphological_ops_test",457
"Module ntpath",457
"Module tensorflow.python.kernel_tests.shape_ops_test",457
"Module dis",453
"Module tensorflow.contrib.factorization.python.ops.wals",451
"Module email.headerregistry",451
"Module tensorflow.python.util.nest",450
"Module lib2to3.pgen2.tokenize",450
"Module keras.layers.merge",449
"Module tensorflow.contrib.keras.python.keras.layers.merge",449
"Module gzip",447
"Module gettext",446
"Module tensorflow.python.training.session_manager",445
"Module tensorflow.contrib.distributions.python.kernel_tests.distribution_util_test",445
"Module tensorflow.contrib.rnn.python.kernel_tests.gru_ops_test",444
"Module tensorflow.contrib.graph_editor.util",442
"Module tensorflow.python.kernel_tests.init_ops_test",440
"Module tensorflow.contrib.distributions.python.ops.shape",440
"Module tensorflow.contrib.slim.python.slim.learning",440
"Module tensorflow.contrib.distributions.python.ops.transformed_distribution",440
"Module tensorflow.python.ops.array_grad",438
"Module email.header",435
"Module tensorflow.python.kernel_tests.diag_op_test",433
"Module tensorflow.python.kernel_tests.rnn_test",433
"Module keras.layers.local",432
"Module tensorflow.contrib.layers.python.layers.optimizers_test",432
"Module layers.optimizers_test",432
"Module tensorflow.contrib.keras.python.keras.layers.local",432
"Module tensorflow.python.ops.init_ops",430
"Module tensorflow.python.layers.normalization_test",429
"Module tensorflow.python.debug.wrappers.local_cli_wrapper",428
"Module warnings",425
"Module tensorflow.contrib.linear_optimizer.python.sdca_estimator_test",423
"Module email._parseaddr",422
"Module tensorflow.contrib.training.python.training.training_test",422
"Module tensorflow.tensorboard.backend.event_processing.event_multiplexer",421
"Module tensorflow.python.training.moving_averages",421
"Module tensorflow.contrib.learn.python.learn.estimators.kmeans_test",421
"Module tensorflow.contrib.seq2seq.python.ops.helper",420
"Module ops.helper",420
"Module tensorflow.compiler.tests.conv2d_test",418
"Module tensorflow.python.training.coordinator",416
"Module tracemalloc",409
"Module tensorflow.compiler.tests.pooling_ops_test",407
"Module tensorflow.python.training.sync_replicas_optimizer",406
"Module tensorflow.contrib.rnn.python.kernel_tests.lstm_ops_test",406
"Module tensorflow.contrib.linear_optimizer.python.ops.sdca_ops",404
"Module tensorflow.python.training.momentum_test",404
"Module tensorflow.contrib.layers.python.layers.target_column",403
"Module layers.target_column",403
"Module tensorflow.contrib.cudnn_rnn.python.ops.cudnn_rnn_ops",402
"Module tensorflow.python.training.server_lib",402
"Module tensorflow.contrib.factorization.python.ops.gmm_ops",401
"Module tensorflow.python.util.protobuf.compare_test",401
"Module ctypes.__init__",400
"Module heapq",398
"Module unittest.loader",398
"Module tensorflow.contrib.integrate.python.ops.odes",398
"Module tensorflow.contrib.graph_editor.reroute",397
"Module tensorflow.python.lib.io.file_io",396
"Module tensorflow.python.ops.random_ops",396
"Module tensorflow.python.ops.tensor_array_ops",396
"Module wsgiref.handlers",392
"Module tensorflow.contrib.distributions.python.kernel_tests.student_t_test",392
"Module tensorflow.python.ops.resource_variable_ops",390
"Module tensorflow.python.framework.meta_graph_test",384
"Module tensorflow.contrib.slim.python.slim.nets.vgg_test",382
"Module tensorflow.python.kernel_tests.depthwise_conv_op_test",381
"Module tensorflow.contrib.training.python.training.hparam",381
"Module tensorflow.contrib.layers.python.kernel_tests.sparse_feature_cross_op_test",380
"Module keras.backend_test",380
"Module tensorflow.contrib.keras.python.keras.backend_test",380
"Module tensorflow.contrib.grid_rnn.python.ops.grid_rnn_cell",380
"Module distutils.util",379
"Module tensorflow.python.layers.normalization",377
"Module json.encoder",375
"Module tensorflow.contrib.slim.python.slim.nets.inception_v1",374
"Module tensorflow.python.debug.cli.stepper_cli_test",372
"Module tensorflow.python.kernel_tests.confusion_matrix_test",369
"Module tensorflow.contrib.keras.python.keras.initializers",368
"Module keras.initializers",368
"Module tensorflow.python.saved_model.builder_impl",367
"Module tensorflow.python.framework.errors_impl",365
"Module tensorflow.contrib.learn.python.learn.metric_spec",363
"Module lib2to3.fixer_util",363
"Module distutils.sysconfig",362
"Module tensorflow.tools.docs.parser_test",362
"Module tensorflow.contrib.slim.python.slim.data.tfexample_decoder",361
"Module tensorflow.contrib.slim.python.slim.nets.resnet_v2_test",361
"Module email.feedparser",361
"Module tensorflow.python.kernel_tests.pooling_ops_3d_test",361
"Module keras.engine.topology_test",360
"Module tensorflow.contrib.keras.python.keras.engine.topology_test",360
"Module tensorflow.tools.docs.generate_lib",360
"Module operator",359
"Module tensorflow.python.training.learning_rate_decay",359
"Module tensorflow.contrib.distributions.python.kernel_tests.dirichlet_multinomial_test",358
"Module tensorflow.contrib.slim.python.slim.nets.resnet_v1_test",357
"Module tensorflow.contrib.distributions.python.ops.quantized_distribution",357
"Module textwrap",357
"Module tensorflow.contrib.distributions.python.ops.relaxed_onehot_categorical",356
"Module tensorflow.python.ops.special_math_ops",356
"Module tensorflow.python.training.queue_runner_impl",356
"Module posixpath",356
"Module tensorflow.python.training.rmsprop_test",356
"Module kernel_tests.basic_decoder_test",355
"Module tensorflow.contrib.seq2seq.python.kernel_tests.basic_decoder_test",355
"Module tensorflow.contrib.cudnn_rnn.python.kernel_tests.cudnn_rnn_ops_test",355
"Module tensorflow.python.tools.optimize_for_inference_lib",352
"Module tensorflow.contrib.imperative.imperative_graph",352
"Module tensorflow.contrib.bayesflow.python.ops.stochastic_tensor_impl",350
"Module tensorflow.python.lib.io.file_io_test",349
"Module tensorflow.python.kernel_tests.scatter_nd_ops_test",349
"Module tensorflow.python.debug.cli.cli_shared",349
"Module layers.optimizers",348
"Module tensorflow.contrib.layers.python.layers.optimizers",348
"Module tensorflow.contrib.training.python.training.bucket_ops",346
"Module html.parser",345
"Module tensorflow.contrib.learn.python.learn.estimators.composable_model",343
"Module tensorflow.python.debug.cli.tensor_format",343
"Module tensorflow.python.estimator.inputs.queues.feeding_functions",342
"Module tensorflow.contrib.distributions.python.kernel_tests.mvn_tril_test",341
"Module tensorflow.python.kernel_tests.pool_test",339
"Module tensorflow.contrib.linalg.python.ops.linear_operator_udvh_update",338
"Module tensorflow.contrib.factorization.python.ops.wals_test",337
"Module tensorflow.python.training.server_lib_test",335
"Module tensorflow.tensorboard.plugins.text.text_plugin_test",334
"Module tensorflow.python.ops.candidate_sampling_ops",334
"Module tensorflow.contrib.training.python.training.evaluation_test",334
"Module tensorflow.contrib.distributions.python.kernel_tests.mvn_diag_plus_low_rank_test",334
"Module tensorflow.python.kernel_tests.conditional_accumulator_test",333
"Module tensorflow.python.kernel_tests.functional_ops_test",332
"Module tensorflow.python.framework.importer",332
"Module tensorflow.python.ops.linalg_ops",331
"Module tensorflow.contrib.learn.python.learn.metric_spec_test",331
"Module csv",329
"Module tensorflow.compiler.tests.pooling_ops_3d_test",328
"Module tensorflow.contrib.tensor_forest.python.kernel_tests.count_extremely_random_stats_op_test",327
"Module tensorflow.contrib.distributions.python.ops.deterministic",327
"Module tensorflow.python.ops.io_ops",325
"Module tensorflow.python.ops.math_ops_test",324
"Module tensorflow.python.kernel_tests.one_hot_op_test",324
"Module tensorflow.contrib.distributions.python.kernel_tests.normal_test",323
"Module tensorflow.contrib.learn.python.learn.models",322
"Module tensorflow.python.framework.tensor_shape_test",322
"Module http.cookies",321
"Module tkinter.filedialog",321
"Module tensorflow.python.layers.base",317
"Module tensorflow.compiler.tests.unary_ops_test",317
"Module email.charset",316
"Module tensorflow.contrib.distributions.python.ops.operator_pd_vdvt_update",316
"Module tensorflow.contrib.distributions.python.ops.beta",315
"Module tensorflow.compiler.tests.jit_test",315
"Module tensorflow.contrib.learn.python.learn.estimators.run_config",315
"Module email._policybase",314
"Module tensorflow.python.summary.summary_iterator",314
"Module cmd",314
"Module tensorflow.contrib.bayesflow.python.ops.entropy_impl",314
"Module tensorflow.contrib.training.python.training.sampling_ops",312
"Module tensorflow.python.util.deprecation",312
"Module tensorflow.python.kernel_tests.reduce_join_op_test",310
"Module tensorflow.python.kernel_tests.fft_ops_test",309
"Module importlib.abc",309
"Module tensorflow.contrib.distributions.python.ops.mvn_linear_operator",309
"Module json.decoder",308
"Module tensorflow.contrib.training.python.training.bucket_ops_test",308
"Module tensorflow.contrib.distributions.python.kernel_tests.gamma_test",307
"Module tensorflow.contrib.keras.python.keras.applications.inception_v3",305
"Module keras.wrappers.scikit_learn",305
"Module tensorflow.contrib.framework.python.framework.tensor_util_test",305
"Module tensorflow.contrib.rnn.python.kernel_tests.rnn_test",305
"Module keras.applications.inception_v3",305
"Module tensorflow.contrib.linalg.python.ops.linear_operator_addition",305
"Module tensorflow.contrib.keras.python.keras.wrappers.scikit_learn",305
"Module framework.tensor_util_test",305
"Module tensorflow.contrib.linalg.python.kernel_tests.linear_operator_addition_test",304
"Module lib2to3.pgen2.pgen",303
"Module tensorflow.python.ops.embedding_ops",302
"Module tensorflow.contrib.distributions.python.kernel_tests.beta_test",301
"Module tkinter.simpledialog",301
"Module tensorflow.contrib.learn.python.learn.utils.saved_model_export_utils",301
"Module tensorflow.python.ops.logging_ops",300
"Module tensorflow.python.kernel_tests.transpose_op_test",300
"Module keras.layers.wrappers",300
"Module tensorflow.contrib.keras.python.keras.layers.wrappers",300
"Module tensorflow.contrib.distributions.python.ops.student_t",300
"Module bz2",299
"Module tensorflow.python.summary.writer.writer_test",298
"Module tensorflow.contrib.distributions.python.ops.mixture",297
"Module numbers",296
"Module lzma",296
"Module tensorflow.python.debug.wrappers.local_cli_wrapper_test",294
"Module tensorflow.contrib.training.python.training.sampling_ops_test",293
"Module layers.utils",293
"Module tensorflow.contrib.layers.python.layers.utils",293
"Module tensorflow.contrib.linalg.python.ops.linear_operator_util",292
"Module tensorflow.contrib.distributions.python.kernel_tests.wishart_test",291
"Module tensorflow.python.ops.gradient_checker",290
"Module distutils.fancy_getopt",289
"Module tensorflow.contrib.distributions.python.ops.dirichlet_multinomial",289
"Module tensorflow.contrib.session_bundle.bundle_shim_test",288
"Module tensorflow.python.summary.writer.writer",286
"Module _osx_support",286
"Module tensorflow.python.ops.sets_impl",285
"Module tensorflow.python.kernel_tests.template_test",285
"Module tensorflow.contrib.rnn.python.ops.core_rnn",284
"Module _markupbase",284
"Module tensorflow.contrib.opt.python.training.external_optimizer",284
"Module tensorflow.python.layers.core_test",284
"Module tensorflow.contrib.learn.python.learn.utils.export",284
"Module tensorflow.contrib.linalg.python.kernel_tests.linear_operator_identity_test",283
"Module tensorflow.contrib.kernel_methods.python.kernel_estimators",283
"Script timeit",282
"Module tensorflow.python.framework.graph_util_test",281
"Module tensorflow.python.ops.special_math_ops_test",281
"Module tensorflow.contrib.training.python.training.evaluation",281
"Module email.utils",278
"Module multiprocessing.util",277
"Module tensorflow.contrib.distributions.python.ops.sample_stats",277
"Module tensorflow.python.kernel_tests.relu_op_test",276
"Module tensorflow.contrib.slim.python.slim.nets.resnet_v2",274
"Module ctypes.util",273
"Module shlex",273
"Module tensorflow.compiler.tests.concat_ops_test",272
"Module tensorflow.contrib.distributions.python.kernel_tests.inverse_gamma_test",272
"Module ast",272
"Module tensorflow.contrib.distributions.python.kernel_tests.operator_pd_test",272
"Module keras.utils.generic_utils",271
"Module tensorflow.contrib.distributions.python.kernel_tests.multinomial_test",271
"Module tensorflow.contrib.keras.python.keras.utils.generic_utils",271
"Module multiprocessing.process",270
"Module tensorflow.python.training.moving_averages_test",269
"Module code",267
"Module tensorflow.contrib.distributions.python.kernel_tests.laplace_test",267
"Module tensorflow.contrib.learn.python.learn.learn_io.data_feeder_test",267
"Module tensorflow.contrib.bayesflow.python.ops.variational_inference_impl",265
"Module tensorflow.contrib.learn.python.learn.tests.dataframe.tensorflow_dataframe_test",265
"Module tensorflow.contrib.learn.python.learn.estimators.estimator_input_test",263
"Module tensorflow.contrib.learn.python.learn.dataframe.transform",263
"Module tensorflow.python.training.coordinator_test",263
"Module tensorflow.contrib.slim.python.slim.nets.resnet_v1",262
"Module multiprocessing.context",262
"Module tensorflow.python.kernel_tests.priority_queue_test",262
"Module tensorflow.python.platform.benchmark",261
"Module tensorflow.tools.dist_test.scripts.k8s_tensorflow_lib",260
"Module tensorflow.contrib.learn.python.learn.learn_io.generator_io_test",260
"Module k8s_tensorflow_lib",260
"Module tensorflow.python.debug.wrappers.dumping_wrapper_test",260
"Module tensorflow.contrib.distributions.python.ops.vector_student_t",257
"Module tensorflow.python.layers.core",257
"Module imp",257
"Module tensorflow.python.debug.lib.debug_utils_test",256
"Module tensorflow.tensorboard.backend.event_processing.event_multiplexer_test",254
"Module tensorflow.python.kernel_tests.gather_nd_op_test",254
"Module tensorflow.python.kernel_tests.sparse_xent_op_test",254
"Module tensorflow.contrib.distributions.python.ops.dirichlet",253
"Module tensorflow.contrib.specs.python.summaries",252
"Module tensorflow.contrib.learn.python.learn.estimators.rnn_common",251
"Module tensorflow.python.training.learning_rate_decay_test",251
"Module tensorflow.python.util.nest_test",251
"Module tensorflow.contrib.distributions.python.kernel_tests.quantized_distribution_test",250
"Module tensorflow.contrib.distributions.python.ops.gamma",250
"Module tensorflow.python.summary.summary",250
"Module queue",249
"Module Queue",249
